,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,241402,24571,41056,41720,41934,52575,84520,88889,127262,96101,44368,41284,46713,18695,10726,8357,8769,6545,20599,8619,10799,14321,8799,3217,1339,1483,1116,1021,654,1010,1024,6432
1,84561,60965,55417,78447,97331,106779,101642,76078,46064,38169,41002,40018,66928,118424,58952,13999,5737,6415,2359,1505,373,312,471,662,388,460,572,642,386,89,5,768
2,40222,36394,40904,47568,56404,73967,89213,107077,90752,54726,44029,42460,91943,141780,91659,35679,9872,6493,3384,835,405,141,7,3,1,2,0,0,0,0,0,0
3,80239,17642,39551,55376,66097,87780,80418,53214,93022,212173,96780,46913,29989,27858,21467,10193,8286,5530,6193,5726,4337,6365,2170,2551,851,1624,1682,2269,3720,23206,8194,4504
4,39989,5462,8351,11154,14026,17220,24812,30604,37400,41725,55143,74745,145279,58596,40110,47192,60046,78622,78666,68771,52307,37777,23544,15237,9936,8639,9426,4775,2910,1713,717,1026
5,2742,4035,6985,10425,16162,20500,27597,26511,31117,38964,54429,76007,147799,70006,51049,57015,63752,71329,74167,63532,49339,38777,21597,14337,12258,14994,16027,11217,6442,3034,2218,1557
6,134111,14677,31054,40624,49917,69989,67897,45821,80862,155360,84047,50814,38881,22580,19147,19298,24240,26348,24504,18369,13421,12962,7741,7482,3368,3124,2179,2185,3344,19862,7190,4522
7,243564,164164,132750,92695,68296,53145,109105,133963,59511,10706,6311,4485,2950,2336,2434,2829,3156,2650,1248,730,285,213,221,205,202,321,579,2496,2126,63,5,2176
8,82136,246371,173174,71755,53949,46687,116135,199248,77524,9661,6373,4706,2614,2284,2396,3970,4372,1403,732,404,25,1,0,0,0,0,0,0,0,0,0,0
9,211895,232479,175967,125547,99095,74732,102151,34345,12594,6422,5834,5752,4402,2287,2276,2301,2565,2284,1857,738,373,24,0,0,0,0,0,0,0,0,0,0
10,154996,84457,101894,90270,75912,84713,107907,57152,61025,117401,62010,29042,12996,9132,6229,4696,4875,3578,3473,2651,1916,3272,1209,1367,376,846,873,1051,2065,11704,3871,2961
11,4654,12885,50771,81830,107707,133776,155771,193044,121865,71749,44948,29429,25924,26173,11392,7520,7154,7961,5766,2330,851,251,184,185,257,337,699,323,162,21,0,1
12,23455,18698,52066,63715,84473,114346,115209,94036,118634,160457,88103,50726,28565,17628,11752,6898,6783,4756,4500,3813,3081,4140,1156,1502,419,966,857,1155,2168,14129,5331,2403
13,72378,18216,42405,74241,128715,158804,112845,79207,59769,55951,45316,45979,46589,41416,35515,28302,20749,13582,9413,6318,2250,907,406,435,284,401,446,663,1054,1506,558,1300
14,106357,14440,30019,45744,72928,119163,95120,58286,76423,107826,67056,50296,42079,39551,38151,34424,30166,20055,13439,8204,4497,3964,1092,1119,366,712,703,828,1726,12557,5580,3049
15,250030,20878,32335,47461,57365,57756,61425,59416,59247,57633,52187,50962,71478,99891,73321,28467,7058,5548,2995,1185,534,1063,1059,768,630,397,393,610,264,37,1,3526
16,19586,20858,30253,47637,56229,66657,75218,82583,88733,99959,92291,83005,113909,125955,67169,24345,5544,3668,1809,469,33,6,3,0,0,1,0,0,0,0,0,0
17,69438,37568,44914,56074,64700,67275,70231,72007,77880,81591,77813,67133,86579,97689,64688,39807,12833,7908,5461,2914,1092,191,116,15,2,1,0,0,0,0,0,0
18,96991,30413,48920,65788,68507,75394,75943,60296,81801,147972,85722,55203,56999,59743,31165,10626,6606,5147,4688,3469,2668,4068,1392,1489,421,800,828,1014,1732,11459,4461,4195
19,54720,27816,48589,66814,114605,176057,143077,110887,91371,72640,54088,43168,33727,21924,12055,7157,6810,7353,7217,2930,307,229,160,190,182,281,388,300,156,56,5,661
20,107515,20216,46117,57050,85886,131092,114377,84850,88190,102783,74575,54011,40079,22225,11956,8180,8230,7013,6956,5455,3556,3360,1081,1129,511,799,704,841,1732,9703,3380,2368
21,4693,6978,10266,14787,21756,25450,31381,35706,43566,50701,55363,64400,137693,57296,42028,49385,62431,80891,79454,58881,40339,29639,21721,15574,12255,12729,11525,10766,5972,6153,3380,2761
22,4323,6473,8723,13478,21425,22925,23466,27219,34143,38636,45144,51452,75702,48384,55675,71937,88443,110225,109650,87256,47347,36133,25247,18147,11479,8712,4933,3641,1983,1266,1347,1006
23,23828,15589,35161,46826,58720,71387,71222,46799,103140,204083,101139,66197,46377,24130,20641,20049,20672,17098,16126,16037,13115,11603,3565,3555,1700,2347,2341,2795,4815,24428,7816,2619
24,89467,23049,43112,54764,85242,89752,107093,145805,150845,119434,57445,36738,24682,17446,12349,8965,9329,9274,6046,2788,1597,1292,555,619,519,553,925,490,813,2780,915,1237
25,7050,14943,55889,65938,96517,116500,135197,165349,128531,93397,51938,35865,32355,32046,19205,14717,13392,12033,9411,3904,1441,230,38,14,12,6,1,1,0,0,0,0
26,105007,18056,47725,51695,61904,79201,85350,60743,97445,179979,91805,51789,31025,21260,14806,11340,9656,6516,5134,6148,6183,7818,2479,4421,2591,4324,4784,2243,3457,20689,6972,3375
