,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,270513,40444,9262,13105,28773,22088,5465,1845,1942,1634,2166,10249,27656,238089,77069,228523,79264,10054,6529,4851,5620,7769,13010,0,0,0,0,0,0,0,0,0
1,262638,157703,43056,24425,2721,5623,20640,14066,2216,1333,1843,7569,28728,42776,301950,66886,26410,12327,17226,14734,14997,18716,17337,0,0,0,0,0,0,0,0,0
2,148979,182847,53001,13434,1525,3103,17836,15679,2787,1510,1415,6679,27050,56588,401252,86816,15333,6115,9241,5805,9633,19402,19890,0,0,0,0,0,0,0,0,0
3,100451,9795,1369,1408,314,234,153,98,64,96,280,6113,11619,200985,274798,311239,113312,12576,10667,9105,14725,20971,5548,0,0,0,0,0,0,0,0,0
4,343171,369916,47537,10962,9862,17234,19497,22480,1481,1165,1899,16647,10974,182251,9091,3273,3126,1543,1859,1778,5070,11072,14032,0,0,0,0,0,0,0,0,0
5,481263,281958,24967,7279,6385,9019,13368,18449,702,415,573,10643,8803,183092,8910,3291,2497,1614,2020,2083,6339,12521,19729,0,0,0,0,0,0,0,0,0
6,252350,70308,15582,4481,3125,4309,1862,498,261,257,949,8358,11339,178732,186584,212271,88371,10026,8506,7176,11850,19605,9120,0,0,0,0,0,0,0,0,0
7,228323,27883,23296,42765,59353,44024,35486,25089,11739,6032,8969,16880,36586,62793,316354,40223,27863,14658,11678,9851,17662,24161,14252,0,0,0,0,0,0,0,0,0
8,58567,16451,6581,23278,45659,29294,32728,13534,7478,3569,6244,11779,41285,123334,463370,75190,42640,14516,13512,13105,21253,27905,14648,0,0,0,0,0,0,0,0,0
9,148152,36467,18712,27985,18656,10372,18398,12244,4974,2757,2318,10839,31552,87048,254590,116620,76456,27856,31621,26372,51752,55901,34278,0,0,0,0,0,0,0,0,0
10,170301,17076,7602,12285,10839,4568,7549,4568,2174,1401,2533,10408,29373,149538,263263,209160,89335,18259,15375,12496,20972,33298,13547,0,0,0,0,0,0,0,0,0
11,237037,121646,28692,12778,11965,8180,23173,14473,1847,539,592,3814,43413,19953,15103,92342,70887,56548,34018,37494,57182,116468,97776,0,0,0,0,0,0,0,0,0
12,162496,42340,13323,21871,9404,2280,9046,3403,811,289,550,7767,34953,138280,142678,184903,92247,26546,21463,26695,37030,64460,63085,0,0,0,0,0,0,0,0,0
13,129801,35384,36017,113420,196849,174193,44353,17504,4221,2300,2268,7038,9311,24159,168255,54101,15622,5424,5796,8132,12134,20889,18749,0,0,0,0,0,0,0,0,0
14,136062,22094,21847,111731,130631,51729,14749,6121,1906,1142,1248,4517,9974,133290,226093,127642,54670,7547,6180,4852,7480,15782,8633,0,0,0,0,0,0,0,0,0
15,306462,46089,37535,142235,134563,23810,12573,12016,3028,1028,1150,6097,21695,12461,246931,29162,11186,3866,4552,4484,11030,18045,15922,0,0,0,0,0,0,0,0,0
16,95552,37427,38908,168016,174147,15990,12040,11584,2699,1503,1745,36948,39778,9630,346429,48450,10312,4353,5954,3793,7253,15894,17515,0,0,0,0,0,0,0,0,0
17,103467,50241,37399,213613,99886,12241,17512,19429,3381,2244,4056,47776,62037,15734,274316,69436,12287,4201,11363,3898,8082,17418,15903,0,0,0,0,0,0,0,0,0
18,113866,29770,9584,51228,79690,15620,8667,7317,2313,1434,1949,13626,35283,120344,258776,216663,68090,10397,12398,6919,11833,20197,9956,0,0,0,0,0,0,0,0,0
19,138346,49452,66156,147989,154806,139874,51615,21072,8832,5630,3116,4402,17291,12164,171679,33170,14898,7641,6702,7639,9181,18380,15885,0,0,0,0,0,0,0,0,0
20,162447,48831,45131,91856,106565,117443,31555,10405,4056,1846,1441,4744,18237,97008,178735,87543,39309,7655,6865,6483,9625,16513,11627,0,0,0,0,0,0,0,0,0
21,487343,266388,25007,10980,10073,15205,19017,27949,1106,631,938,12358,10210,149345,8605,3186,2793,1718,2236,2254,6235,15320,27023,0,0,0,0,0,0,0,0,0
22,437483,428355,19918,9557,13854,27403,17670,17105,529,314,736,6846,4586,61742,5801,2634,2418,1507,1931,2079,6902,15727,20823,0,0,0,0,0,0,0,0,0
23,109273,78932,9329,5907,3465,1481,567,252,243,238,666,6648,13377,277468,228088,217921,90494,11526,9046,6723,11096,17155,6025,0,0,0,0,0,0,0,0,0
24,334264,97276,28799,55280,24922,5849,19329,14317,2408,547,1725,21775,78988,81296,44994,28560,19009,12288,10197,13510,26396,92753,91438,0,0,0,0,0,0,0,0,0
25,251301,160624,43146,48694,24652,8580,23666,15310,1502,331,387,3823,16840,11640,10124,56323,33755,26881,23980,30198,58199,151759,104205,0,0,0,0,0,0,0,0,0
26,160814,26522,19394,19472,26821,16752,739,270,273,257,496,5634,20144,210544,203252,199263,85960,12456,11304,11092,18862,31852,23747,0,0,0,0,0,0,0,0,0
