Id,Label,Minute,NumConfirmPresses,NumBreakPresses,PercentageOfMovement,PercentageOfRoll,PercentageOfThruster,AverageThrusterIntensity,hue_0,hue_1,hue_2,hue_3,hue_4,hue_5,hue_6,hue_7,hue_8,hue_9,hue_10,hue_11,hue_12,hue_13,hue_14,hue_15,hue_16,hue_17,hue_18,hue_19,hue_20,hue_21,hue_22,hue_23,hue_24,hue_25,hue_26,hue_27,hue_28,hue_29,hue_30,hue_31,sat_0,sat_1,sat_2,sat_3,sat_4,sat_5,sat_6,sat_7,sat_8,sat_9,sat_10,sat_11,sat_12,sat_13,sat_14,sat_15,sat_16,sat_17,sat_18,sat_19,sat_20,sat_21,sat_22,sat_23,sat_24,sat_25,sat_26,sat_27,sat_28,sat_29,sat_30,sat_31,bright_0,bright_1,bright_2,bright_3,bright_4,bright_5,bright_6,bright_7,bright_8,bright_9,bright_10,bright_11,bright_12,bright_13,bright_14,bright_15,bright_16,bright_17,bright_18,bright_19,bright_20,bright_21,bright_22,bright_23,bright_24,bright_25,bright_26,bright_27,bright_28,bright_29,bright_30,bright_31,motion_Mean,motion_Std,motion_Skweness,motion_Kurtosis,motion_Max,motion_Min,motion_Var,contrast_Mean,contrast_Std,contrast_Skweness,contrast_Kurtosis,contrast_Max,contrast_Min,contrast_Var,entropy_Mean,entropy_Std,entropy_Skweness,entropy_Kurtosis,entropy_Max,entropy_Min,entropy_Var,MSSQ
9,0,0,2,0,0.0,0.0,0.0,0.0,290859,31686,9402,28728,133626,77680,25425,1495,922,777,1332,7281,17442,125631,84255,74680,35670,8838,8815,7839,8118,15661,109758,0,0,0,0,0,0,0,0,0,182223,33283,54491,35811,41367,78144,235958,109314,100003,62177,40798,34412,27572,11493,5301,3752,5561,3915,6496,5754,5982,5931,3513,2146,894,894,629,673,534,993,1178,4728,176846,13171,17264,24326,25117,22653,21169,10142,10899,24157,18422,22399,25926,44414,119587,121799,32182,36363,44175,34420,29243,40350,50429,44224,25662,21618,15032,11480,8275,3819,2939,7418,-0.1149773936485871,1.2285399856933414,-0.4768899947266513,3.2071600940076097,3.946593,-4.758254,1.5093104964473951,32.35535038100737,16.180729899831782,-0.9156911089497828,-0.3181088207514473,55.21533011340146,0.0,261.8160200913102,5.463131782558154,2.318315911255014,-1.6949475611273743,1.211723353654735,7.333721894407247,0.0,5.374588664378164,10.62
9,0,1,1,0,24.17,7.5,77.5,0.98,223618,192024,80026,34601,3725,7486,24331,17020,2473,1876,2983,8853,27694,38208,216395,68599,34364,15297,24065,22482,21564,22876,15360,0,0,0,0,0,0,0,0,0,59261,92712,73765,88499,91351,98460,98457,81522,49152,39700,38777,36591,58347,92090,42527,14851,10170,6998,2442,2465,2400,3209,7110,7692,789,1085,1639,2682,737,171,13,256,18432,0,0,3,3,242,688,2825,7076,26680,16047,21078,31653,28106,40255,44986,45672,44700,52965,68795,83860,92027,81198,76680,58838,53088,53569,40222,26112,19231,14569,56320,-0.1689366698265075,1.0067325830459597,0.0078792873456872,0.9812802065858568,2.916441,-3.0754542,1.0135105848312378,41.46720008148565,6.962542896144769,-3.434974667817162,18.078622808238286,51.24344257684711,0.1170298579607827,48.47700358065599,7.012803856174793,0.911714888563822,-7.237006832601872,51.91013052763287,7.38004267082237,0.1055910363751952,0.8312240380289426,10.62
9,0,2,0,0,42.5,6.67,100.0,0.99,189421,254242,53704,12028,1951,4208,18280,16354,3247,1563,1868,8970,29770,63169,273234,75842,15211,6292,10597,7783,14420,23290,20476,0,0,0,0,0,0,0,0,0,47044,57581,59697,56825,57205,65025,83814,123956,110071,57562,47904,46741,72151,95507,58975,28310,11931,9587,6461,2298,1227,1181,1676,2163,928,98,2,0,0,0,0,0,0,0,0,0,23,1010,4447,9409,12584,16004,23472,27426,23010,28870,38578,43610,40310,45575,55215,74999,79907,74267,67686,65154,60932,53531,47876,42959,36215,26880,22234,83737,-0.166689932346344,1.0025714635849,-0.3848874210006762,2.4392636223543347,2.6366076,-4.404976,1.005149483680725,45.78899109139632,7.464925642363301,-1.0207202773056545,0.2408144024567313,56.82791130559156,27.985710780012624,55.72511484601314,7.19655308153374,0.2679746532739193,-1.298546846319077,0.6400257660402651,7.539494229872737,6.45130366185185,0.0718104147972773,10.62
9,0,3,0,0,44.17,2.5,65.83,1.0,111971,124030,71318,30343,1290,1324,6345,7035,1460,1060,1577,8232,21835,141694,326317,131427,40593,8001,8805,9113,15831,21933,14386,0,0,0,0,0,0,0,0,0,66090,51788,56422,56835,54721,66577,74302,67711,70452,99341,58226,48821,79871,100446,62272,30394,15390,11180,7027,4460,3337,2965,2141,1547,333,342,436,540,1148,6972,3159,674,38846,5352,11714,17675,35300,18744,11439,20275,20429,35530,28410,22289,23108,32986,22025,22062,42266,37577,44832,54122,58527,58417,61850,76106,57421,46659,39537,34767,30879,25827,17113,53836,-0.0020734509453177,1.2626729011535645,0.1457582159285143,0.8686073486356412,4.201124,-3.7673619,1.5943429470062256,41.93685222452176,10.786243667618676,-2.073700139268117,5.584281459175514,60.35680105727573,0.0,116.34305245724404,6.752436085034814,1.3457155838987904,-4.264115475666358,18.20624047337849,7.433985371374662,0.0,1.8109504327480623,10.62
9,0,4,1,0,35.83,1.67,55.83,0.93,282804,339555,63428,10367,9077,12583,25533,18556,1074,914,2037,15556,12665,165265,36254,47308,19845,3312,4116,3282,7930,13345,11114,0,0,0,0,0,0,0,0,0,88922,9843,14917,19257,24134,30556,34058,36610,55296,70033,51142,54392,112091,58549,33946,35641,46730,66303,71151,54691,36419,27055,17108,12169,9821,9820,9803,4113,3239,4373,1916,1822,84245,2896,7341,17319,47534,31452,32483,35033,33285,47410,52532,53061,56612,55650,48629,63180,81009,61947,46529,36100,31523,35351,43916,21902,14249,14099,9295,5554,3758,2921,3002,26103,-0.1348961144685745,1.3074240684509275,-0.1578961802425862,1.424033763248354,3.5472112,-4.0891995,1.709357738494873,37.10564309265752,13.30287162668144,-1.324949420566322,1.9984929144342347,61.01646771716966,0.1170298579607827,176.9663935159661,6.233065804990933,1.820344805998711,-2.8077861731737905,6.671511074114109,7.480620795453493,0.1055910363751952,3.3136552127264847,10.62
9,0,5,0,0,44.17,14.17,89.17,0.93,462779,332505,39263,11088,10572,16186,23028,20606,578,512,1335,18541,11522,96496,6409,2818,2448,1626,1817,2267,8303,15104,20117,0,0,0,0,0,0,0,0,0,4449,7922,11248,17290,23337,27264,29800,31359,37746,37300,45674,62577,86816,48124,42441,50444,60119,68970,72934,66892,56896,52798,30733,23412,25106,28564,25309,13939,9033,3972,2147,1305,0,18,3370,18253,40536,57446,65066,84869,82314,74097,59295,64122,61775,47940,37670,34580,54292,59881,46843,37185,33345,28416,26690,17522,14053,12592,13976,7768,4739,2897,1937,12433,0.0322214625775814,0.9702228903770448,0.4137475787837354,-0.3812008695785538,2.349019,-1.7750633,0.9413323998451232,37.55089019550106,9.147550910907192,0.6532315070661165,0.303156392228701,64.17469518939039,19.945997767408173,83.67768766763899,6.769768079540387,0.444235772343114,-0.6798117565852108,-0.0721895691076306,7.5696904725462275,5.313779139482688,0.197345421429283,10.62
9,0,6,0,0,20.0,1.67,37.5,0.77,226707,139522,27199,5384,4236,3967,4490,8112,652,609,1796,15097,16832,288782,127255,131277,54143,6289,4589,4084,8266,13303,13329,0,0,0,0,0,0,0,0,0,46444,13711,24261,30356,40230,51733,58397,47559,106407,140378,73894,69734,86808,41271,29262,32735,32965,36156,33337,27023,17578,13541,7773,6143,4120,3645,2253,1540,2751,15076,5257,3582,41371,8798,24365,43280,68796,53965,51971,59386,47097,73463,64596,44840,42047,61983,31413,32959,84417,45901,42980,31614,24445,23692,21306,19936,14650,11838,8899,7847,3966,1985,1537,10577,-0.2588196694850921,1.402679204940796,-0.2140303497760715,0.8261634088313676,3.1669016,-4.3705616,1.9675087928771973,41.43813216712912,11.1257240676063,-1.3157900337990087,4.631986999762207,70.47293622867247,0.1170298579607827,123.7817360285141,6.559698055051185,1.2126905164042514,-4.123091509867928,18.21673519043041,7.5278964564014705,0.1055910363751952,1.47061828857681,10.62
9,0,7,0,0,0.0,0.0,0.0,0.0,92943,2137,1864,5068,4921,1870,760,331,324,357,715,5348,19948,402791,265251,177988,86171,10413,5739,4135,5303,8159,3384,0,0,0,0,0,0,0,0,0,86552,15712,37045,45666,59922,68761,69399,46641,135456,218260,90992,59638,23436,12751,9300,7564,7945,6200,6815,7814,11108,11358,2213,2314,1114,1729,1979,2711,6130,35251,10753,3391,92009,10613,22483,38198,51808,47756,32780,40719,30907,92627,85694,46870,52036,88333,37045,37237,140703,24683,32322,22480,17598,21381,13566,7285,4760,2757,1624,2707,3156,880,580,2323,0.0032531816978007,1.7126225233078003,-0.3520105385525342,0.6243836272413299,3.911668,-4.9065223,2.9330759048461914,38.856110883848345,11.2600904865471,-3.005367684379792,7.531126426926239,46.29550650271917,0.1170298579607827,126.78963776522856,6.367072617925034,1.7919635348260203,-3.171842729128464,8.18959255553847,7.057588843380068,0.1055910363751952,3.211133310146166,10.62
9,0,8,0,0,10.83,0.0,85.0,0.94,118903,40280,26490,53144,95666,59667,46214,24216,14534,6699,11290,19570,43310,67668,297517,43160,28705,16690,13614,10740,22520,28116,17207,0,0,0,0,0,0,0,0,0,138621,201071,168381,118160,86052,59091,113155,125667,46399,8616,7212,5803,4134,3622,4493,4146,3441,2519,1316,634,272,218,203,206,235,263,413,779,245,40,1,512,36864,29,1303,1709,1595,1226,1135,2903,19116,32010,22448,20302,18214,25002,40620,46453,54211,63300,65764,62846,57741,48539,34541,28499,27642,58588,75792,76895,51694,40737,30304,57898,0.1370544582605362,0.9197975397109984,0.4169866373352054,2.183901636126365,3.4126444,-2.3947937,0.8460275530815125,39.5657970304754,9.03777134948036,-2.791090541754701,9.725830998974327,51.69512506768363,0.1170298579607827,81.68131096548805,6.829643508167398,1.2799146470480671,-4.815682646251165,22.40441558661884,7.440483880250472,0.1055910363751952,1.6381815037281782,10.62
9,0,9,0,0,27.5,1.67,100.0,0.95,78453,34613,6291,14118,22369,15934,30760,11445,6053,2997,6078,14971,42748,105778,443910,82871,53694,22409,25801,22558,23758,24906,13405,0,0,0,0,0,0,0,0,0,106751,235648,155142,62739,49309,45756,122926,201203,56828,10403,10544,9726,7661,5058,4252,5158,5404,3307,3444,3944,625,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,3574,9731,13493,17892,16463,27209,29584,25062,28233,35556,40508,39546,37620,41891,40989,42286,39962,86009,128700,123399,74757,63277,49555,90574,0.1044695824384689,0.7463663816452026,0.8389198949033821,3.3981579229010297,3.5533893,-1.8453108,0.5570627450942993,39.35738573212021,4.703986656074457,0.1490026988642601,2.472324650338665,50.96160337796105,19.19430529551191,22.127490460526552,6.931982094267156,0.2070495775206865,-4.771748091015192,38.29588206088872,7.28848619859338,5.2018294791261015,0.0428695275514947,10.62
