Id,Label,Minute,NumConfirmPresses,NumBreakPresses,PercentageOfMovement,PercentageOfRoll,PercentageOfThruster,AverageThrusterIntensity,hue_0,hue_1,hue_2,hue_3,hue_4,hue_5,hue_6,hue_7,hue_8,hue_9,hue_10,hue_11,hue_12,hue_13,hue_14,hue_15,hue_16,hue_17,hue_18,hue_19,hue_20,hue_21,hue_22,hue_23,hue_24,hue_25,hue_26,hue_27,hue_28,hue_29,hue_30,hue_31,sat_0,sat_1,sat_2,sat_3,sat_4,sat_5,sat_6,sat_7,sat_8,sat_9,sat_10,sat_11,sat_12,sat_13,sat_14,sat_15,sat_16,sat_17,sat_18,sat_19,sat_20,sat_21,sat_22,sat_23,sat_24,sat_25,sat_26,sat_27,sat_28,sat_29,sat_30,sat_31,bright_0,bright_1,bright_2,bright_3,bright_4,bright_5,bright_6,bright_7,bright_8,bright_9,bright_10,bright_11,bright_12,bright_13,bright_14,bright_15,bright_16,bright_17,bright_18,bright_19,bright_20,bright_21,bright_22,bright_23,bright_24,bright_25,bright_26,bright_27,bright_28,bright_29,bright_30,bright_31,motion_Mean,motion_Std,motion_Skweness,motion_Kurtosis,motion_Max,motion_Min,motion_Var,contrast_Mean,contrast_Std,contrast_Skweness,contrast_Kurtosis,contrast_Max,contrast_Min,contrast_Var,entropy_Mean,entropy_Std,entropy_Skweness,entropy_Kurtosis,entropy_Max,entropy_Min,entropy_Var,MSSQ
20,0,0,5,0,0.0,0.0,0.0,0.0,292688,29649,8881,35205,159419,85716,12427,1151,705,547,905,7441,10764,92989,84479,89111,51083,11205,10406,8262,9233,15074,88580,0,0,0,0,0,0,0,0,0,200413,35850,55504,35403,33037,83886,203944,97951,100205,77868,42499,38775,29641,11222,6298,4572,4553,3791,5485,5350,5832,5547,3234,2556,1159,1097,609,559,549,1166,1959,5406,195812,8071,18605,34174,35416,24231,16793,7066,11010,18482,15498,17367,22707,34394,99841,100851,33885,33924,44190,38560,32807,34001,54184,50641,31524,26556,19647,16218,10775,5389,3887,9414,-0.122142526996654,1.4743412808816414,-0.6790786646864848,2.8962167639549588,3.964731,-5.583836,2.1736822125117192,32.89553425293727,16.193577698424757,-0.9869637316211618,0.0527455421819182,58.13217543674314,0.0,262.23195867491967,5.496477929535407,2.444239631569525,-1.65977656369686,0.907029849121336,7.278851266116316,0.0,5.974307376535129,16.0
20,0,1,0,0,20.83,0.0,80.83,0.97,211870,183851,54464,31688,3000,6202,22607,17391,2733,1663,2539,9614,31307,43114,280139,70863,26917,13575,23117,17223,15196,17922,18925,0,0,0,0,0,0,0,0,0,32557,73537,62096,81700,106374,109358,112506,84320,49114,40001,40730,39622,64625,122107,51081,9708,6064,5800,2869,1862,846,809,1539,1879,575,636,954,1541,918,186,6,0,0,0,0,0,0,0,32,1293,8182,35659,10975,10635,16912,23317,36685,50571,46145,45148,54806,80147,104188,100505,85040,82852,62214,54324,44834,38749,26475,18377,13086,54769,-0.0310923103243112,0.7398098707199097,0.088167256430002,1.549349035943485,2.6890936,-1.9861503,0.5473186373710632,41.27253528331767,4.191671914977387,-0.2207322801534446,-0.8579559356009656,49.58203930084856,31.85265231182232,17.570113442810193,7.070040718829469,0.1458107857015087,-0.2738517560691247,-0.5216500097730057,7.381939212422139,6.705933551563314,0.0212607852268912,16.0
20,0,2,0,0,35.83,1.67,90.83,0.99,148914,206836,39279,8268,1348,3083,12538,14533,2492,1404,1598,7853,32011,66385,402559,81303,14609,5652,8491,5263,8473,16692,16336,0,0,0,0,0,0,0,0,0,33944,40532,43347,43844,50240,60336,76972,115329,110007,58475,44521,42614,88465,148389,93147,39847,9002,3892,1908,445,485,41,50,40,38,10,0,0,0,0,0,0,0,0,0,0,60,5146,9407,13147,5935,5293,10019,15583,17438,24627,33931,34369,35363,53467,59263,92981,101420,83718,79144,88464,64591,53131,43412,34339,28523,22687,20189,70273,0.0986109226942062,0.8256468772888184,0.1185019510045957,0.938738625504438,2.3201253,-2.5170662,0.6816927790641785,42.91446617520237,6.482168352239404,-1.3044954887109526,0.8850591921478492,52.85819360650404,26.247184147361224,42.018506546774105,7.051940102768185,0.2638689103029857,-1.0205078502809255,0.3876959097908825,7.423020919041355,6.344750770679189,0.0696268018244851,16.0
20,0,3,0,0,7.5,0.0,12.5,0.88,58625,42492,40961,16190,1548,988,1790,1278,315,334,736,6075,18744,238152,321829,211235,83667,11192,8396,7741,11249,16273,6110,0,0,0,0,0,0,0,0,0,28514,27721,46414,58567,64828,82036,89356,65494,96981,179458,87912,51098,32737,45813,38118,17728,8338,5715,5173,5673,7296,9005,2105,2411,911,1566,1580,2048,4204,25940,8746,2434,27347,10341,26210,47586,78982,36540,30500,38361,24860,76504,64057,40506,45654,66128,32784,35357,72940,33009,46897,51686,45731,44737,34293,25001,17608,12656,11885,9316,5873,3292,2195,7084,-0.1460647881031036,1.5320582389831543,0.0045912473627285,0.0100427408255616,3.7010248,-4.2883143,2.3472025394439697,41.46142996575224,7.585814878054377,-3.256604122190257,14.386251279992477,57.38814807867923,0.1170298579607827,57.544587364111145,6.805509158994848,0.913094878616316,-6.6474669984423285,45.41784862554114,7.2692817023667,0.1055910363751952,0.8337422573553451,16.0
20,1,4,3,0,25.83,0.0,60.83,0.99,284362,302909,55535,9708,8297,12610,19952,27471,1483,1304,2489,15767,13229,192973,60845,47065,19203,2940,2905,2157,4484,8931,9301,0,0,0,0,0,0,0,0,0,79983,9198,14543,18660,22700,27717,32202,36269,48574,71932,61980,66615,113913,45402,31159,38037,51665,66182,66895,53407,41953,31265,18323,13709,8544,7258,7296,4231,3395,7191,2869,2853,77609,5013,9871,17112,32601,21995,28908,33090,28089,47150,51522,56571,61433,64513,55473,68299,88300,69757,54357,41417,30649,24894,37740,22320,19179,14269,9484,7102,5312,3883,3487,14521,0.1432590782642364,1.0106996297836304,0.3440344352373313,3.1289999392951278,3.9109585,-3.5087855,1.021513819694519,37.78152115997562,12.171646974886697,-1.878281991202928,3.761979487111639,57.891918009157415,0.1170298579607827,148.1489900812685,6.504429453608069,1.7454253166642522,-3.2620654914467235,9.07060569810093,7.441098754989974,0.1055910363751952,3.046509536052505,16.0
20,1,5,0,0,38.33,2.5,61.67,0.96,412771,237642,32935,8986,8087,12910,15982,25842,848,690,2176,20800,18720,165736,47636,33739,16722,3474,3214,3208,6717,11391,15694,0,0,0,0,0,0,0,0,0,33584,10092,16475,19279,25253,27262,30109,28787,40896,59795,57996,68943,114560,57741,46222,49422,54853,62807,66829,56947,41830,30951,16110,12995,12722,15483,16856,10384,7032,8269,3507,1929,29081,2035,7668,19988,36635,53257,65502,75935,74634,70095,61966,53659,56975,52339,37194,33181,53363,62757,45954,38973,34059,27304,28979,24021,16459,10422,7339,6359,4611,2680,2088,10408,0.0204473100602626,1.179582953453064,0.5585515416891367,2.2804329302329744,4.5247383,-3.4260807,1.3914159536361694,38.30086821885232,9.93420065878794,-0.7076932479483385,4.734922498990943,67.16017873298125,0.1170298579607827,98.6883427290627,6.657315037047876,1.0929177091336464,-5.359594865679429,29.30671617999944,7.536763697503662,0.1055910363751952,1.1944691189379375,16.0
20,0,6,0,0,0.0,0.0,0.0,0.0,10949,2005,1111,3255,2789,1112,490,192,181,207,532,5228,16744,354940,319639,237116,96235,13690,8114,6109,9152,12462,3668,0,0,0,0,0,0,0,0,0,3181,16321,42457,55023,69038,82692,81762,53510,116830,236042,109587,61052,22729,12982,9975,7662,8200,6217,6748,7743,10488,12437,2546,2759,1276,1946,2240,3017,6594,38615,11663,2588,10149,12334,28600,52845,80404,45929,37199,42683,29586,109497,94628,52325,57169,90376,38762,40017,106624,25503,32321,25378,20542,28033,17850,9536,5746,3199,1613,2219,2358,697,454,1344,-0.2519103288650512,2.1215503215789795,0.1122902769223863,-0.6597055235954605,4.3019233,-4.573722,4.500975608825684,43.00778433913506,3.073197524971443,-0.687958010978732,-0.1364847886230653,49.06358809065856,35.81459089902673,9.444543027490605,6.946260249614182,0.123968164611577,-1.7068864528223415,2.029695233671938,7.111247073279023,6.563950387506144,0.015368105837163,16.0
20,0,7,1,0,10.83,3.33,62.5,1.0,175062,30130,21443,36493,53521,37611,31558,18593,9947,5030,8700,15713,38973,114635,317559,72682,38755,14389,11140,8327,15516,20311,9832,0,0,0,0,0,0,0,0,0,193156,134833,120859,93652,71188,55570,102369,126103,72089,47037,23504,14034,6491,4268,5109,4646,4249,2847,2004,2079,1674,1915,687,627,348,674,731,1714,1401,5889,1994,2179,121806,2578,4974,9520,14584,8551,7922,7742,7357,40230,27442,23138,19073,28549,30954,38336,61002,52356,52199,46737,41615,38555,29323,24232,28148,58854,73605,69084,41575,30617,22593,42669,0.0882793292403221,0.88240647315979,0.8961857064381189,4.232183637081008,4.1070447,-2.314589,0.7786411643028259,34.58859951932168,12.916652962372169,-1.9008832522341093,2.627078761054148,49.5471577324932,0.1170298579607827,166.8399237503577,6.180587320197058,2.1333638596577598,-2.450712934751474,4.145543609236555,7.321358549937613,0.1055910363751952,4.551241357693852,16.0
20,1,8,0,0,25.0,2.5,100.0,1.0,54302,33785,9848,29589,55051,36981,37569,16406,9560,4917,8950,18063,47343,112019,403484,72546,44771,18422,23158,18461,18152,22828,9715,0,0,0,0,0,0,0,0,0,90147,275873,183951,68934,44893,41776,113274,181402,47133,10071,10291,7737,6135,4248,4398,5502,5239,2713,1094,995,90,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,472,1644,6298,10510,20770,20529,29389,30351,31995,36861,39217,51440,53924,52038,43739,41587,42857,40605,78616,118608,118407,72445,55172,45428,62984,0.0995178371667862,0.9470864534378052,0.2061866725284906,2.160940958912612,3.627429,-2.458111,0.8969727754592896,37.49205239077252,2.981445129106233,1.3172843834694838,1.8274376679458115,47.724441158842005,33.11032128583233,8.889015057871283,6.966076664227317,0.1382540904991792,0.931469639539581,0.3342465236502994,7.362001270760769,6.707524826741017,0.0191141935397552,16.0
20,1,9,0,0,37.5,0.0,100.0,1.0,161928,58118,20416,25764,16230,10221,16559,10121,3430,2475,3386,14674,40818,84439,219043,117455,81070,28665,32009,26788,50891,53448,27972,0,0,0,0,0,0,0,0,0,220986,247720,185086,112968,77283,54731,83987,46850,16225,8688,8817,10074,9235,4736,3191,3550,3504,2863,2569,1851,747,254,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,4308,20280,39763,39103,42623,36665,31998,32802,35599,40323,36420,36485,38968,41196,46831,47702,42227,35879,41709,47046,44314,40701,47605,53236,182100,0.196467250585556,0.686567485332489,0.2654288933341293,1.891222551214872,2.8977792,-1.7784882,0.4713749289512634,54.27602788317375,6.557954502169365,-1.2173609943678478,0.6007123728927168,62.59916534842407,35.41751794062108,43.00676725252345,7.293363924656713,0.2128087814315537,-1.935295103661679,2.5468936367633166,7.504073789350523,6.584141835093214,0.0452875774543828,16.0
