Id,Label,Minute,NumConfirmPresses,NumBreakPresses,PercentageOfMovement,PercentageOfRoll,PercentageOfThruster,AverageThrusterIntensity,hue_0,hue_1,hue_2,hue_3,hue_4,hue_5,hue_6,hue_7,hue_8,hue_9,hue_10,hue_11,hue_12,hue_13,hue_14,hue_15,hue_16,hue_17,hue_18,hue_19,hue_20,hue_21,hue_22,hue_23,hue_24,hue_25,hue_26,hue_27,hue_28,hue_29,hue_30,hue_31,sat_0,sat_1,sat_2,sat_3,sat_4,sat_5,sat_6,sat_7,sat_8,sat_9,sat_10,sat_11,sat_12,sat_13,sat_14,sat_15,sat_16,sat_17,sat_18,sat_19,sat_20,sat_21,sat_22,sat_23,sat_24,sat_25,sat_26,sat_27,sat_28,sat_29,sat_30,sat_31,bright_0,bright_1,bright_2,bright_3,bright_4,bright_5,bright_6,bright_7,bright_8,bright_9,bright_10,bright_11,bright_12,bright_13,bright_14,bright_15,bright_16,bright_17,bright_18,bright_19,bright_20,bright_21,bright_22,bright_23,bright_24,bright_25,bright_26,bright_27,bright_28,bright_29,bright_30,bright_31,motion_Mean,motion_Std,motion_Skweness,motion_Kurtosis,motion_Max,motion_Min,motion_Var,contrast_Mean,contrast_Std,contrast_Skweness,contrast_Kurtosis,contrast_Max,contrast_Min,contrast_Var,entropy_Mean,entropy_Std,entropy_Skweness,entropy_Kurtosis,entropy_Max,entropy_Min,entropy_Var,MSSQ
1,0,0,1,0,0.0,0.0,0.0,0.0,117088,19385,10294,92579,340884,184669,12690,1028,533,416,526,1548,3991,5777,142254,12922,13935,10347,11312,9474,9156,17752,87360,0,0,0,0,0,0,0,0,0,41907,26825,50079,32434,37329,168552,253231,129566,89385,61919,57241,60454,37356,11159,5503,4737,5756,6107,6133,7592,4964,3187,1284,1004,571,244,174,118,105,93,50,861,35339,4522,3600,872,268,128,87,114,377,1737,3288,8221,13377,15945,71168,101246,43011,53333,79671,77540,58792,62170,128466,113809,56714,44559,35197,30310,18848,10851,10475,21885,0.2366025797202926,1.87049969141181,0.0503555124285815,0.1792269470091172,4.7613697,-4.5896263,3.498769095571676,34.10082868814364,6.900730309609622,-2.404787787704107,9.66254026816152,47.03356518628573,0.0255072109689579,47.6200788059649,6.557532020442896,1.085783541799176,-5.018152346900507,24.748676763907667,7.01693990732371,0.0078302003986778,1.178925899641963,10.0
1,0,1,1,0,2.5,1.67,10.83,0.98,218882,65101,26033,52218,136901,83836,10433,7175,957,661,1195,9563,16211,71559,121662,84676,55445,16204,17010,18976,17004,28446,45772,0,0,0,0,0,0,0,0,0,153863,64715,77905,59227,47771,104699,122687,82784,89230,71051,44487,42692,36903,31678,18675,8252,6871,4897,4822,4671,4988,4895,2712,2133,1055,1351,1410,1986,1054,736,760,4960,147003,6164,14840,26360,27912,21500,13254,6619,10352,28702,16680,31594,27279,27505,45812,80599,30264,33863,46636,51945,51168,53542,83573,66230,38514,28419,24130,19587,10745,8559,7546,19024,-0.065911628305912,0.976097822189331,-0.0816605546458484,2.4644501338902094,3.0630403,-3.509776,0.9527669548988342,35.88047822377439,15.811493235295789,-1.1969317672900377,0.6419136443200402,56.16224661979665,0.1170298579607827,250.00331832980447,6.031206175615955,2.2638612430791967,-2.189432168826074,2.8981363359633496,7.347341879615774,0.1055910363751952,5.125067727916086,10.0
1,0,2,0,0,45.0,6.67,98.33,0.94,232573,155402,38111,15981,1431,4335,16762,17361,2997,1618,2135,8776,28993,49284,344821,74087,22019,10585,15566,11727,13136,19601,18619,0,0,0,0,0,0,0,0,0,37314,53507,51667,60917,92298,109989,112278,81841,56146,45159,40984,40845,73144,117108,74318,29049,10426,10635,2698,1706,566,537,1103,1548,129,7,1,0,0,0,0,0,0,0,0,0,2,767,2483,6196,14807,28174,14364,16820,21167,30258,39696,48257,52005,59053,66517,85344,87397,76476,69422,75828,57734,51814,41064,37230,27848,21601,15213,58383,0.0190189089626073,0.9095562696456908,0.553814514537789,1.650181872733035,3.242711,-2.511269,0.8272925615310669,42.538954973010426,6.365801162151385,0.0790746705694733,-0.6931846790895473,57.01888922394095,29.94749841645557,40.523424436047925,7.033614778465076,0.2720968352062296,-1.002088933412267,0.8997766139902779,7.42491538799379,6.107946727008134,0.074036687729246,10.0
1,1,3,0,0,62.5,10.0,80.83,0.94,125853,213117,73513,9466,1736,3903,17603,12472,2465,1764,2341,9178,29904,67733,331684,98229,18032,7319,10466,9148,14174,23877,21943,0,0,0,0,0,0,0,0,0,37828,57518,65615,58194,58042,69401,93003,120667,90982,48709,38749,40572,84846,121614,63944,28048,10070,6750,5368,3008,2178,486,116,161,47,3,1,0,0,0,0,0,0,0,0,0,29,2552,9716,11840,7790,7462,13723,18838,19831,24093,25686,27488,28810,36202,43546,68773,86616,85343,91218,100698,80025,63596,51873,42183,33337,25410,20616,78626,-0.114839918911457,1.0805799961090088,-0.0823559119682869,-0.2212680429764084,2.1505055,-3.0635073,1.167653203010559,45.39008972890906,3.834684478066131,0.2519038269646044,0.0429096094470442,55.858575141170846,37.409164808049965,14.704805046321315,7.2033668690003925,0.1219870135918159,-0.387165110589493,-0.0130997279980884,7.459506931872981,6.789324971134942,0.0148808314850498,10.0
1,1,4,1,0,15.83,1.67,43.33,0.98,223588,186162,80321,27980,6581,8612,10344,9909,789,746,1532,8570,17651,176401,161448,99278,38651,5721,5771,6010,7761,13398,8696,0,0,0,0,0,0,0,0,0,103936,24024,42222,49897,50652,50958,54920,53630,78211,108081,71663,54094,62517,48227,23239,21080,24827,27920,29251,25099,21463,18673,10700,8695,4943,4606,4174,2892,3661,12887,5039,3739,101332,6959,13808,23651,39008,22353,20976,30499,24907,51191,56561,46631,48285,59717,42628,44686,77894,40806,45769,43011,44091,45300,48768,32537,23720,18636,11538,9263,6012,5840,4114,15429,-0.0506349690258502,0.8510661721229553,-1.3047928992437792,6.004881937195991,2.379897,-3.9343796,0.7243136167526245,36.8979913114243,12.914293910922453,-1.9231272126588204,3.050951083856264,56.72533619463812,0.1142917609591493,166.77898721768875,6.3815932018657175,1.934196295427754,-2.8346557302470514,6.30555983546642,7.415753311665393,0.1015646187355505,3.7411153092464473,10.0
1,1,5,0,0,55.0,1.67,93.33,0.99,396143,330782,47239,8662,7653,10551,20096,28439,1213,882,1482,19668,17754,158837,7309,3020,2490,1831,2504,2675,5888,12728,18074,0,0,0,0,0,0,0,0,0,6349,7387,12050,15353,22279,23814,26532,27349,35136,42154,54155,82095,122211,51459,46192,51654,59862,71496,70312,66195,52505,39089,23817,17017,16762,20289,19517,11809,5610,2875,1463,1133,0,1,392,11117,31897,45198,62176,68169,66211,60970,52438,53149,57176,54960,47865,53219,63685,73430,56258,42902,37571,31180,34058,24816,18953,13633,13628,8355,5525,3339,2676,10973,-0.0196670815348625,0.7260792851448059,-0.2712900840034584,1.0473123349059523,2.2130537,-2.275128,0.5271911025047302,40.118067786385446,7.717849268480077,0.9486485496913852,1.0562465021781815,66.96906630484422,25.515130634116723,59.565197330978464,6.909484692164055,0.3075564813510503,-0.3817832907943853,-0.661715723628955,7.537944824102067,6.121540177739471,0.0945909892210389,10.0
1,1,6,0,0,20.0,5.0,31.67,0.96,260682,68043,23020,23256,27370,24952,20493,11389,5702,2880,5558,12640,22481,168078,208609,103440,48543,12494,8632,6518,12540,17321,11279,0,0,0,0,0,0,0,0,0,183197,65779,78381,69471,61345,54936,71470,83148,70040,88643,45489,30100,45938,28248,13746,14276,13863,15373,14998,13047,9152,6872,2707,2246,1250,1269,1296,1476,2162,9689,3233,3080,159618,4626,13878,22649,41722,24734,21624,29550,32920,53983,51115,41599,36858,49820,42308,47470,84816,43033,37564,28189,22082,23290,18458,14751,14273,28274,35381,31404,16523,12651,7498,13259,0.0878728181123733,1.0237168073654177,-0.0363673166781776,1.3548921200656814,3.3345244,-3.1462507,1.047996163368225,34.41490388889453,15.59718298424988,-1.3381226445842942,0.5389774559943725,61.138632577053336,0.1170298579607827,243.272117044174,5.87855349898382,2.3809292678305742,-1.9365458673168308,1.9386529809528497,7.404422879541768,0.1055910363751952,5.668824178412234,10.0
1,1,7,0,0,30.83,2.5,100.0,1.0,72619,28365,14798,44048,80077,52937,45691,19864,12540,6530,12187,21251,48899,83491,377160,50652,27794,13699,15447,12247,21033,31379,13212,0,0,0,0,0,0,0,0,0,110157,242076,163286,83788,66327,57229,121566,155523,62413,9688,7649,5147,3352,2584,2543,3067,4759,2946,856,856,103,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,205,6433,15190,20721,19816,16677,24802,27005,33587,46239,49986,64318,66733,62737,52956,44836,37674,35291,81033,95762,92556,59820,47667,38271,65604,0.0725544542074203,0.5497866272926331,-0.2501587080046291,0.8476633947857537,1.2958232,-1.6215395,0.3022653460502624,38.57282499973194,4.29891429685225,0.5279858996849839,-0.6901097053643728,47.720681442431086,31.72111402031897,18.48066413168068,6.963721955463675,0.2383996294316996,-0.2512630770676368,-0.275927170106411,7.38933772707009,6.407508961668541,0.0568343833131717,10.0
1,1,8,0,0,22.5,0.0,100.0,1.0,118562,26522,1324,5418,817,2643,12134,8607,2797,1760,2218,9895,38970,123203,372789,123519,77137,24951,30261,25192,31297,38552,27352,0,0,0,0,0,0,0,0,0,157301,246508,168248,84223,64230,48056,97592,138525,49187,9570,8405,7607,7187,4867,4104,3816,3047,1922,842,588,88,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,313,3176,16809,26735,35760,24074,27963,33701,23756,27467,27896,24111,25174,29273,35838,41215,44071,46782,87402,102823,98074,64659,57495,57965,143387,0.0661333426833152,0.5760509967803955,-0.3016565551402378,0.946244813504411,1.7138143,-1.8529131,0.3318347334861755,47.56913973348159,8.997858987596583,0.447715003122928,-1.346235781628465,64.6913172014848,36.0574758245584,80.96146636067262,7.07371269849057,0.2316275669570135,-0.0739441395348996,-1.2731087797549765,7.424664636377808,6.603032044733135,0.0536513297744257,10.0
1,1,9,0,0,14.17,0.0,87.5,0.98,178325,57537,25590,38499,33918,13568,17663,10765,5737,3214,3859,13396,44475,114296,191850,114954,61112,21095,22047,19443,37825,48371,28381,0,0,0,0,0,0,0,0,0,161551,199826,182316,138118,99383,75020,78145,30878,19237,32718,18431,13267,11248,8422,7265,7684,7028,4300,2943,1848,872,772,402,424,141,234,155,206,358,1140,580,1008,39120,2024,4655,8980,21262,6644,4858,13605,33227,52509,49712,41942,39964,46587,43723,42746,45614,44655,48729,47811,45007,44563,37093,29774,31038,27902,21853,18385,16600,18997,32848,143493,0.1440635025501251,0.9189946055412292,-1.2966468357779204,16.856973617928144,4.3518534,-5.8435383,0.8445510864257812,51.6052577320853,11.609884667995992,-2.997067548446493,10.594738319501262,62.57852356786822,0.1170298579607827,134.7894220041684,7.086806095509547,1.321057990614198,-4.915286874730017,23.011164409133173,7.564312983916256,0.1055910363751952,1.745194214565622,10.0
