Id,Minute,NumConfirmPresses,NumBreakPresses,PercentageOfMovement,PercentageOfRoll,PercentageOfThruster,AverageThrusterIntensity,hue_0,hue_1,hue_2,hue_3,hue_4,hue_5,hue_6,hue_7,hue_8,hue_9,hue_10,hue_11,hue_12,hue_13,hue_14,hue_15,hue_16,hue_17,hue_18,hue_19,hue_20,hue_21,hue_22,hue_23,hue_24,hue_25,hue_26,hue_27,hue_28,hue_29,hue_30,hue_31,sat_0,sat_1,sat_2,sat_3,sat_4,sat_5,sat_6,sat_7,sat_8,sat_9,sat_10,sat_11,sat_12,sat_13,sat_14,sat_15,sat_16,sat_17,sat_18,sat_19,sat_20,sat_21,sat_22,sat_23,sat_24,sat_25,sat_26,sat_27,sat_28,sat_29,sat_30,sat_31,bright_0,bright_1,bright_2,bright_3,bright_4,bright_5,bright_6,bright_7,bright_8,bright_9,bright_10,bright_11,bright_12,bright_13,bright_14,bright_15,bright_16,bright_17,bright_18,bright_19,bright_20,bright_21,bright_22,bright_23,bright_24,bright_25,bright_26,bright_27,bright_28,bright_29,bright_30,bright_31,motion_Mean,motion_Std,motion_Skweness,motion_Kurtosis,motion_Max,motion_Min,motion_Var,contrast_Mean,contrast_Std,contrast_Skweness,contrast_Kurtosis,contrast_Max,contrast_Min,contrast_Var,entropy_Mean,entropy_Std,entropy_Skweness,entropy_Kurtosis,entropy_Max,entropy_Min,entropy_Var,MSSQ
11,25,0,0,64.17,14.17,98.33,0.94,251301,160624,43146,48694,24652,8580,23666,15310,1502,331,387,3823,16840,11640,10124,56323,33755,26881,23980,30198,58199,151759,104205,0,0,0,0,0,0,0,0,0,7050,14943,55889,65938,96517,116500,135197,165349,128531,93397,51938,35865,32355,32046,19205,14717,13392,12033,9411,3904,1441,230,38,14,12,6,1,1,0,0,0,0,0,0,0,0,12,638,1817,5669,11230,14997,17556,21913,27990,31365,37290,41614,47246,54115,64252,74715,84919,69418,43539,40721,40782,36981,35505,33810,33477,26050,39190,169109,0.0774022042751312,0.9869473576545716,-0.5597605739900788,1.0778251204899192,2.3360853,-3.4154336,0.9740650653839112,44.71374920139142,10.05083536213945,0.4422956795044089,-0.8085064423388859,67.32380342757267,29.402010802997847,101.01929147683286,7.017439173296354,0.2495906606278802,-1.188661373487025,1.6441931523032034,7.408542101296886,6.10681116181105,0.0622954978726616,20.79
11,26,0,0,4.17,4.17,9.17,0.92,160814,26522,19394,19472,26821,16752,739,270,273,257,496,5634,20144,210544,203252,199263,85960,12456,11304,11092,18862,31852,23747,0,0,0,0,0,0,0,0,0,105007,18056,47725,51695,61904,79201,85350,60743,97445,179979,91805,51789,31025,21260,14806,11340,9656,6516,5134,6148,6183,7818,2479,4421,2591,4324,4784,2243,3457,20689,6972,3375,109532,9414,26302,50002,85396,38210,26067,31630,23033,70269,63095,41297,45741,66074,36023,41291,59243,31167,37744,30932,24625,28692,20920,13600,10360,8433,9575,6811,9605,5423,12859,32555,0.0582402534782886,1.5470709800720217,-0.457990071447025,1.2326572846515509,3.8251326,-5.2658353,2.3934285640716557,40.13768775858989,14.27226521455885,-1.92206759865341,3.067124613919333,64.39781787659746,0.0588231748128382,203.69755435470657,6.302512272677004,1.989547895394412,-2.7508505992951195,5.720305063361513,7.3969726423649105,0.033368446039804,3.958300828068333,20.79
12,0,3,0,0.0,0.0,0.0,0.0,201687,39496,9690,43837,199068,113379,25035,1973,1240,1025,1551,8353,16113,105670,106328,94498,40270,9040,9225,7062,7207,11934,52239,0,0,0,0,0,0,0,0,0,148772,33598,59084,38955,44402,109228,174641,110062,99518,74904,49980,44878,34461,12353,6760,5414,7105,4895,9403,6815,6823,7368,4380,3093,1448,925,580,534,332,540,522,4147,142118,14464,20084,27421,24651,31018,25223,8927,11114,22546,14921,13963,22315,31793,62041,77219,34587,41624,56122,48848,41170,41339,75817,66765,36056,32684,25540,20422,13214,6241,5059,10614,-0.0431527170197785,1.0194921844048817,0.3988830974309301,2.2912975599673766,3.9275165,-3.0557697,1.0393643140626374,34.21709493090713,14.535986350037238,-1.111396764121337,0.700487446820564,56.46276796250807,0.0,211.29489916846887,5.96848794819039,2.159244381761789,-2.237661123144664,3.1806236031744737,7.342361567442167,0.0,4.662336300169851,17.1
12,1,0,0,24.17,17.5,74.17,0.99,269870,199147,80532,37235,2753,5272,14429,12900,1508,950,1495,7244,23024,22244,234247,57774,27427,12486,18626,19440,16162,22739,18416,0,0,0,0,0,0,0,0,0,85971,70314,65188,77025,94014,109325,100180,85571,61159,44704,34403,26191,38476,90596,55008,26985,13016,10217,2351,1614,720,810,2479,3898,744,566,963,1367,1105,164,28,768,55296,0,0,0,0,15,521,1610,4717,26411,16762,23593,26513,26973,37777,51831,60032,59090,65506,84789,96601,89741,72279,57665,48669,45485,39767,30185,20288,16053,9959,37792,0.0305930189788341,1.0093857049942017,-0.1483309283709405,0.8643433111989265,2.6549814,-3.0334632,1.0188595056533811,37.34494749147556,11.374397500246754,-1.669280871354614,3.4897454493357003,60.56429616976062,0.1170298579607827,129.3769184936196,6.542134974838659,1.5761504964332658,-3.448272863219546,11.025260236691572,7.393600865051152,0.1055910363751952,2.4842503874068305,17.1
12,2,0,0,31.67,30.83,81.67,0.93,167395,113682,14149,8505,715,2415,13057,11191,2331,1555,1867,9009,21829,71267,509880,78425,16412,5573,8026,5481,9601,16849,16706,0,0,0,0,0,0,0,0,0,27769,32006,39000,47984,55027,65242,74692,72219,62908,47648,51674,60834,98445,153545,118866,66017,16631,9089,3796,1207,697,281,272,54,14,3,0,0,0,0,0,0,0,0,0,0,9,578,5960,10558,8474,8249,12136,14632,19130,31293,39064,42004,45615,72841,79440,108588,98274,72498,69772,106971,63248,36267,29514,22929,18493,15567,12924,60892,-0.0455543622374534,1.2440615892410278,0.6418631182004889,0.3541869903291474,3.2843902,-2.5571918,1.5476893186569214,37.760790522863935,8.074134338618894,-0.1032315596233443,-0.8687948727313652,54.08952773858907,23.878950755368574,65.19164531806476,6.740220253319844,0.2904285623430586,-0.3787246177423811,-1.1071951029392435,7.221745017046564,6.165167327598272,0.0843487498246558,17.1
12,3,0,0,36.67,34.17,75.83,0.94,240147,314353,29540,8032,1413,3275,12164,8566,1000,348,580,9034,22703,21119,291594,66792,12116,4890,9277,5779,9334,18057,15807,0,0,0,0,0,0,0,0,0,40153,38619,41723,42975,50108,77077,138421,185760,113804,43553,27627,24816,49122,97011,76982,38117,7202,4297,2486,2159,2159,631,858,190,64,6,0,0,0,0,0,0,0,0,0,0,80,1626,3540,6632,5668,6782,13539,22429,27846,33310,43733,48450,51759,70744,88519,110799,104667,88257,74969,61355,46643,37006,29534,23326,19930,17624,12096,55057,0.1475299149751663,1.0566966533660889,0.420803953105309,1.1862299569911814,4.353129,-2.4228199,1.1166077852249146,39.08469436709935,9.070560517654732,-0.1909204564098005,-1.0556104769577213,55.05917804467074,20.2800529745134,82.27506810443687,6.89460975384289,0.3414285016091609,-0.8466758753942291,0.4788077842853675,7.4482696055771935,5.72884403436601,0.1165734217110768,17.1
12,4,1,0,5.83,4.17,14.17,0.75,195112,68755,12372,3883,1405,1324,3634,3554,564,377,587,5186,15208,174494,265686,196107,90392,10999,8748,7701,11805,19729,8298,0,0,0,0,0,0,0,0,0,126823,22457,37392,46452,51296,69576,86454,83836,115161,147703,80915,50112,34613,42193,26177,13418,8140,5294,5720,4405,4086,5326,2031,2082,685,1229,1185,1583,3035,16749,5584,4208,127425,13731,31989,44695,74412,37096,26807,28055,20920,67804,59623,33357,45403,66562,34128,37918,51202,24400,29160,31874,35271,40581,34478,26732,20287,14705,10146,9634,7477,4928,3658,11462,-0.0206944774836301,1.531813383102417,0.147210147693953,-0.3773654505200619,3.8007786,-3.4130712,2.346452236175537,38.632218907712144,14.13440584387046,-2.1091445984756967,3.0380503934445686,50.25456828454588,0.1142917609591493,199.78142855923943,6.230901065086353,2.1417696798087515,-2.4919929596482264,4.266966681328217,7.3857418635087155,0.1015646187355505,4.587177361348082,17.1
12,5,0,0,34.17,25.83,53.33,0.85,290992,423367,68301,11040,9239,16374,38704,40990,1555,1112,1815,11434,8987,143345,5897,2419,2093,1215,2095,1548,4453,8840,10105,0,0,0,0,0,0,0,0,0,7849,7575,8645,11905,12983,14895,21174,29007,28672,34692,48742,61658,123881,56762,42696,54666,69244,91684,105104,86524,59279,34891,24502,17152,11953,15788,13590,5827,2877,992,428,283,0,43,2439,8139,27308,36749,41070,33053,29092,32504,43598,53276,61040,56880,57393,80147,88621,71326,54323,47420,41877,35248,54276,31164,22995,21352,11359,8833,6203,5647,5632,36913,0.2847345471382141,1.2785887718200684,0.2818055157560653,2.237845696303241,4.367903,-4.0813417,1.6347891092300415,41.03508723845369,8.716078107845432,0.3520877995362892,-0.7406252898872592,62.04611297798605,26.683064934015626,75.9700175820624,6.944542155087868,0.3488198976896124,-0.4304877628539861,-0.5434986050219055,7.534540362537961,6.024812928754508,0.1216753210241916,17.1
12,6,0,0,50.0,35.0,73.33,0.95,293511,384614,34002,8288,7359,8326,10017,17483,707,538,1082,11957,8880,268029,8934,3496,2635,1671,1620,1826,4972,10864,15109,0,0,0,0,0,0,0,0,0,3219,6164,8558,11776,15900,21233,24316,25696,34683,37902,47961,76014,194240,61390,32177,39529,51485,68555,78260,78520,68720,48485,30460,19146,10470,5380,2685,1351,790,426,246,183,0,19,3014,12674,25677,40880,46366,48957,46729,42652,42088,48025,45777,42426,42865,76734,114890,98603,69106,55624,48081,39645,37280,23575,15972,12268,10266,4225,3214,1951,1286,5051,0.0870387032628059,1.112972855567932,-0.2219365056834542,-0.0048240485361246,2.988946,-2.933118,1.23870849609375,34.14207705554345,6.9885303657338405,0.602985129532998,3.800453315772781,62.42883357840477,13.232565964230616,48.83955667278397,6.6696582419448776,0.3674565392767508,-1.4246274547014668,3.0083746249579937,7.2567722129481105,5.037950350811587,0.1350243082572463,17.1
12,7,0,0,47.5,29.17,54.17,0.9,549926,261741,22830,13195,14828,24131,18273,11473,527,343,601,16870,9245,98610,6613,2844,2542,1590,1778,2465,8122,13720,23653,0,0,0,0,0,0,0,0,0,3749,7270,10841,14373,20792,27136,28352,28436,30275,30935,33785,47350,96085,54775,45287,51193,59010,67578,83537,64057,51614,33803,19000,19121,23752,35726,35920,28470,22697,15510,8301,7190,0,19,4522,27910,44460,70548,79579,103247,94131,73360,67975,91122,91742,56610,34978,25510,44559,39758,30399,24229,24379,23529,19124,9073,5021,3301,2852,2604,2820,1703,1298,5558,0.1028522402048111,1.2142997980117798,0.3026449764444767,0.3105899308572155,3.3902473,-3.3956783,1.4745241403579712,32.4635764371885,8.054638649815256,1.0098307834836082,3.7221561441719047,63.60454934299118,11.901128241893968,64.87720377909773,6.425667269234448,0.4148736186926732,-1.3856911359303317,2.4507306502356387,7.154250108995206,4.921487574868538,0.1721201194871536,17.1
