Id,Label,Minute,NumConfirmPresses,NumBreakPresses,PercentageOfMovement,PercentageOfRoll,PercentageOfThruster,AverageThrusterIntensity,hue_0,hue_1,hue_2,hue_3,hue_4,hue_5,hue_6,hue_7,hue_8,hue_9,hue_10,hue_11,hue_12,hue_13,hue_14,hue_15,hue_16,hue_17,hue_18,hue_19,hue_20,hue_21,hue_22,hue_23,hue_24,hue_25,hue_26,hue_27,hue_28,hue_29,hue_30,hue_31,sat_0,sat_1,sat_2,sat_3,sat_4,sat_5,sat_6,sat_7,sat_8,sat_9,sat_10,sat_11,sat_12,sat_13,sat_14,sat_15,sat_16,sat_17,sat_18,sat_19,sat_20,sat_21,sat_22,sat_23,sat_24,sat_25,sat_26,sat_27,sat_28,sat_29,sat_30,sat_31,bright_0,bright_1,bright_2,bright_3,bright_4,bright_5,bright_6,bright_7,bright_8,bright_9,bright_10,bright_11,bright_12,bright_13,bright_14,bright_15,bright_16,bright_17,bright_18,bright_19,bright_20,bright_21,bright_22,bright_23,bright_24,bright_25,bright_26,bright_27,bright_28,bright_29,bright_30,bright_31,motion_Mean,motion_Std,motion_Skweness,motion_Kurtosis,motion_Max,motion_Min,motion_Var,contrast_Mean,contrast_Std,contrast_Skweness,contrast_Kurtosis,contrast_Max,contrast_Min,contrast_Var,MSSQ
18,0,0,4,0,0.0,0.0,0.0,0.0,165503,17913,8647,74410,293100,147953,15315,1665,695,549,822,4075,6732,37664,179816,33893,24749,8681,8019,6233,6122,11090,52274,0,0,0,0,0,0,0,0,0,115057,27592,41819,33742,39365,147805,235260,117005,93776,65991,49169,48274,30156,9643,4933,4391,5018,4955,5653,6976,5671,3876,1976,1921,765,482,281,256,229,463,553,2867,110197,2426,6372,11890,10285,6230,3879,2932,4290,4931,6724,9823,14440,18467,49644,74249,34867,45564,67345,62539,48888,67457,131867,97785,48004,40537,35938,31058,20015,9638,8232,19407,-0.1208488993851157,1.5515599203810946,-0.6217978801331716,0.7953294705746758,3.1978996,-4.5521564,2.407338186532989,31.27932510294752,11.315522675341796,-1.3202888669529438,2.41815984642928,50.95150159532451,0.1170298579607827,128.04105341617438,11.0
18,0,1,2,0,40.82,0.0,62.33,0.93,291139,154296,47288,38320,4012,5726,15356,8294,1740,916,1425,6964,22914,36201,253132,78644,34523,11865,17269,15299,17397,23905,19295,0,0,0,0,0,0,0,0,0,98595,50787,54062,77609,105101,116674,114477,70812,50406,44859,32216,24763,38680,90607,66000,33149,9556,6393,3740,2917,1699,2213,1967,1451,1132,1152,803,1219,528,205,59,2089,80709,8280,9033,11450,10337,10264,7175,6766,19670,40067,21961,16876,18868,24732,35064,46600,50309,66128,73326,90467,91726,78574,61668,47966,36683,33425,27955,22161,13592,9733,6622,27733,-0.157389223575592,1.0568903684616089,-0.531627535529036,0.8497911863786412,2.224181,-3.4625099,1.1170172691345217,37.41502779412699,12.538431283901952,-1.7233169322368955,2.920665527558084,56.3576287983597,0.1170298579607827,157.21225906113116,11.0
18,0,2,0,0,41.84,3.66,61.61,0.95,145401,181557,8494,2788,507,1395,7261,15132,2929,1871,2678,8908,24516,104737,418199,82565,17632,7666,8046,7596,12573,23626,19843,0,0,0,0,0,0,0,0,0,21567,38756,69183,60063,62920,67549,93714,118865,55806,37748,42858,60885,94884,123512,95062,41340,10875,5289,2642,339,170,1574,285,26,6,2,0,0,0,0,0,0,0,0,0,0,7,1167,6939,12452,14914,16804,15886,17167,19521,23649,28100,26970,28523,49348,60509,81098,78782,67081,86337,136253,65643,49338,46177,41262,49558,21677,12528,48230,-0.0730485916137695,1.203848361968994,0.387231487971835,-0.2805441515396261,3.4084885,-2.5185409,1.4492508172988892,41.33719330233169,6.248236939951391,-0.2621880527960782,0.0940583404758235,56.49776204402174,25.62395749588995,39.04046485777312,11.0
18,0,3,0,0,49.94,0.82,95.39,0.99,180410,237435,54316,12396,1833,3796,18322,13409,2705,1501,1806,9985,30160,33152,330014,87522,16637,6696,10266,6557,10914,18341,17747,0,0,0,0,0,0,0,0,0,50318,44795,43982,42707,46850,63918,91242,143862,132406,59154,36382,34061,73254,115101,74539,34511,8311,5498,3870,761,280,56,36,17,5,2,2,0,0,0,0,0,0,0,0,0,205,10502,11884,11640,13929,12381,17338,20255,22997,26923,34362,37317,34154,49926,61685,85174,91131,85561,77182,68143,57201,51406,41617,33040,27574,23255,19592,79546,-0.2276080995798111,1.4305410385131836,0.2031372067080056,0.0139567696597993,3.5205765,-3.5815027,2.046447515487671,46.62559171034335,7.319532790148851,-0.6258700407191213,-0.4992564364959357,59.53504044544768,30.26051220596998,53.57556026606422,11.0
18,0,4,0,0,13.62,0.0,30.4,0.98,60709,32158,7839,2118,578,1304,5646,5373,1350,1049,1428,7935,20631,175920,359609,269095,84901,10536,9296,8283,13937,19688,6537,0,0,0,0,0,0,0,0,0,51732,30597,44846,56315,56438,76636,75503,56684,76553,166534,84606,56467,72186,93397,45340,11371,6126,4161,5364,3323,2487,3479,1352,1606,438,950,826,1077,1844,11356,3746,2580,43657,12071,28908,47282,124631,39883,22976,29810,24422,59733,46050,25667,23293,38377,19978,22301,24944,13135,18470,27588,36996,42107,44567,75919,44720,34452,28208,22841,21607,13983,11707,35637,0.0606147535145282,1.8723163604736328,-0.1378074752732185,-0.4371745590853098,4.0656567,-4.169856,3.505568504333496,43.58952231309834,9.302306155160483,-3.4765111685182157,13.304048931640867,52.13414135256427,0.1170298579607827,86.53289980433664,11.0
18,0,5,1,0,34.49,0.0,59.47,0.97,310242,316925,52913,9193,8561,12871,20183,24358,1302,1073,2223,14195,11734,189438,42967,35927,15784,3120,3193,2703,5666,10721,10628,0,0,0,0,0,0,0,0,0,87435,8326,13086,17836,19956,26194,30873,34491,46380,62143,58565,65605,128727,51036,33349,39241,52509,65919,69647,56135,42292,31463,20454,13577,7659,5887,4960,3127,2525,3590,1304,1629,84277,1842,7853,19524,33529,22179,27646,33249,31439,41831,48730,56554,63494,64934,58373,79192,91713,68904,51341,39432,29530,24069,34555,22599,15931,12670,7919,5651,4267,3346,3359,15988,-0.1441128998994827,1.3230540752410889,-0.7002666288530027,1.580503257369232,2.702797,-4.795344,1.7504719495773315,36.82610204475446,12.66249230115722,-1.521859185077068,2.782760002649473,61.39189373619688,0.1170298579607827,160.33871127686584,11.0
18,0,6,0,0,63.04,5.21,78.25,0.96,385706,328825,37595,7618,7040,12312,13094,15901,1006,695,1072,19927,16676,194576,9835,3866,2932,2049,2166,2479,6949,14182,19419,0,0,0,0,0,0,0,0,0,3867,6827,11400,15716,20297,24422,28604,28535,34149,37499,48477,73300,158440,66252,44478,48631,53092,63315,65431,62404,47317,40461,29592,19359,15345,18685,16976,9791,7265,3016,1648,1329,1,34,4178,13948,33801,48481,62886,70946,71928,63436,58432,59077,61911,54285,43615,40489,63150,89159,59434,43515,34247,25648,25083,22123,16537,12039,9152,6025,4396,2769,1466,3729,0.0139040946960449,0.9875427484512328,-0.0259160599218603,0.5293480897894391,3.0908728,-2.6890025,0.9752407073974608,36.18192902449138,5.818775871588144,0.6459030238631175,0.9393913855252825,59.3406265290207,24.312931646918315,33.85815264377637,11.0
18,0,7,0,0,28.69,0.0,29.11,0.93,223149,284368,41535,9067,8930,13624,3078,989,526,271,664,7681,8901,148336,115294,135932,57462,6241,5474,4502,8434,13080,8382,0,0,0,0,0,0,0,0,0,43673,11092,21245,27690,31781,47932,48833,41113,67880,107784,65587,56194,55463,28008,29875,32732,39695,51442,68384,69382,40941,32411,22470,17480,11509,6265,4099,2537,2961,12823,4449,2190,41427,9920,23988,41428,68670,40539,37157,40793,43768,82888,75820,58235,63376,74014,42878,37753,52012,34559,39552,35636,28575,33102,31793,25584,14934,7728,4407,3373,1878,1129,1301,7703,0.0629121735692024,1.585547685623169,-0.2787458408849679,0.3158037941997591,3.8752937,-3.808589,2.5139613151550293,37.92833939333603,10.368849947069515,-0.9542766519114256,4.939581058328487,73.73025898102658,0.1170298579607827,107.51304922484351,11.0
18,0,8,1,0,20.16,0.0,66.15,0.98,195431,35034,19536,32564,45635,33592,29625,19163,8590,4814,7264,13904,36422,94246,328961,63871,37339,14551,12681,10301,19956,27264,15176,0,0,0,0,0,0,0,0,0,178592,132789,124926,93676,76277,65288,124389,136515,58008,31325,20452,13891,8921,7253,5632,4840,5747,3056,1416,1200,842,994,531,638,376,505,696,1255,960,1901,621,2408,114249,2842,6179,7592,16802,8169,5060,6021,10741,31818,33017,30878,24035,26601,29796,36086,47961,46362,45037,43569,39293,35650,29169,23364,26183,54312,79611,79638,52614,40656,27111,45504,0.0418810173869133,1.0806055068969729,-0.1240584797094045,1.545780316891225,2.9520705,-3.848203,1.1677082777023315,37.50333770941033,13.307636582350897,-2.16161771787938,3.400385407159466,51.53973940980345,0.1170298579607827,177.09319140792385,11.0
18,0,9,0,0,30.06,0.88,100.0,0.98,69599,20584,8464,23688,48380,31737,31997,16698,9248,4168,6772,12013,36921,102234,449659,69040,46435,16510,16662,17515,21882,28566,17148,0,0,0,0,0,0,0,0,0,76213,236842,176224,79345,55116,46983,124177,194778,71063,9098,6446,6121,4685,3105,2705,3626,3940,2299,1081,948,830,293,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1417,11587,13342,22604,30353,25752,22855,36878,27245,29364,31920,40709,46036,44844,38047,34771,36716,45092,96054,120676,119696,73790,54848,43282,58009,0.1590654104948043,1.2773360013961792,-0.0214313801639367,0.1988989340685951,3.985478,-3.1397617,1.6315873861312866,40.464129903972335,2.490141127860847,0.0747576186321424,0.5027547349497223,48.88220808916674,33.81005981339034,6.200802836664091,11.0
