,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,110159,2926,6607,10693,14147,6455,4083,2487,3571,4867,5597,7363,12492,16952,44888,60356,32763,44704,65007,59727,49838,80515,128705,94196,49583,50684,44981,35801,22944,9912,6984,15933
1,89004,12812,24323,56030,55650,42515,29172,18845,27613,40593,17315,16953,20767,32191,26446,47852,28492,35481,53671,76836,81845,68222,49058,37178,30764,22701,16102,11850,7366,4515,3437,20321
2,0,0,0,0,0,28,1250,6128,12991,16570,15106,12557,16473,23242,30325,36379,35566,54252,58761,73971,79473,82886,87745,92022,62991,55714,47287,40044,33403,26678,20236,83842
3,0,0,1,48,24,1502,6575,22537,14359,9807,13108,14649,15862,19737,28916,29308,25960,30379,43034,70212,86830,81353,82807,106218,82458,65764,54770,43318,33895,27262,20639,74588
4,38144,19034,53143,77857,144030,57563,37137,38280,23772,89501,77109,40254,46063,65842,31430,38905,59512,19033,27001,21283,18119,28701,19677,10396,6579,5218,3924,3198,1927,923,440,1925
5,74969,1896,5796,22358,35609,29531,33491,35053,35965,37256,45598,58193,65033,56080,51881,65354,79089,72668,46472,50702,32387,25533,38018,20163,13272,11445,8218,5504,4562,3936,4348,35540
6,28014,941,3947,17262,38662,57811,72545,79827,77574,67215,57919,54881,59053,50197,37260,33286,48775,59517,45727,37407,34340,29853,31935,24032,14453,11767,8727,5666,3884,2806,1897,8740
7,11407,23215,65807,95200,206913,74857,45353,36971,23580,77643,65580,31768,35000,58538,25137,30025,62828,15021,21775,16866,12907,24644,17170,7763,4950,4829,3706,2811,1514,435,384,1323
8,112313,3574,8227,11224,43272,10393,7386,7404,11558,26887,17418,17630,13744,17733,26842,32462,47709,47914,46854,41588,41412,36680,31008,23821,27466,68164,79933,71378,49489,40143,29192,55102
9,0,0,0,0,0,0,40,1012,3213,8721,12913,13596,14321,26631,21598,23713,28065,32963,42829,47287,44827,38829,35876,34219,44698,113048,136669,131590,78638,59162,46754,64708
10,0,0,0,0,2,13,88,5796,32457,47210,42315,40068,33006,29450,30946,32534,37611,31663,30984,34001,36466,40967,39680,36441,32401,34357,37918,39552,36667,49105,66525,227697
11,71497,13220,32763,49433,82967,38001,24582,21153,20130,49270,50734,34821,42080,56699,39582,41560,59731,32874,38930,32498,27131,30666,23867,14322,12285,18588,17846,18054,13845,18790,22378,55623
12,46080,0,0,0,154,88,137,3416,7712,8163,11722,16047,27674,32057,38581,42213,55792,78204,94146,111486,114201,77343,50918,41309,36052,29521,23283,20658,20769,17149,21409,79636
13,33531,10728,29651,41826,97701,32790,18897,17899,15061,46054,43240,31611,37719,49118,38464,44430,57665,48048,52064,46558,50177,45731,29542,20318,17278,15901,14384,13122,11781,10560,16193,67878
14,68111,2748,4695,7524,8033,6134,4545,4787,5471,17522,25586,16971,19301,25662,29449,44772,65456,68203,79459,69582,56583,46480,52332,55165,73071,58256,44423,35994,26672,18404,16486,48043
15,29854,4068,9377,14075,20461,10116,8825,9240,8054,23613,20956,16328,17556,25127,25417,36893,50497,54464,62917,53075,41229,50765,75485,66130,67322,50960,46044,45727,41376,33126,28916,57927
16,130658,2776,4514,5690,9285,9278,8167,13918,15054,18664,24843,35466,47968,59667,56603,50472,51466,47424,61676,78158,78934,63201,50309,38351,31015,25433,19154,14212,10646,9132,7220,26566
17,0,0,0,0,7,1217,6467,15643,13966,11777,18291,28515,38179,50775,51506,48188,46930,49654,64120,93107,89983,74577,68620,59583,46004,38494,32572,27854,23128,19387,17008,70368
18,0,0,0,0,1,600,4152,10104,14214,12307,15709,20745,23422,28727,29911,31043,48908,67959,72969,87692,82004,66647,58230,50212,43159,39003,37012,35200,31991,29720,28877,135402
19,27476,15302,34668,57581,87489,44222,32922,29722,24198,45034,40949,21331,27885,43220,29068,29674,60039,21538,30676,34721,37801,43857,37952,30754,26566,24976,21001,21011,18409,15535,14970,75373
20,76730,5667,5497,5936,7142,3861,3206,5866,11268,20469,28767,29515,34614,46852,71418,81750,92664,86139,77909,60783,40531,43861,47653,41878,46938,35387,27337,17523,13033,8198,5564,21964
21,104609,5553,12136,17452,22217,14366,9896,11481,12056,29582,29957,25098,31785,39571,49852,60914,82146,72407,79297,59351,42703,50724,59363,43698,40243,26478,17727,12276,7631,5338,4781,25232
22,0,215,9722,26169,50658,58515,54316,59472,56914,51266,48454,44316,47198,39168,36600,60183,104746,75334,50017,38358,28442,20830,26387,19680,18057,15291,11184,9753,9064,8341,11324,15946
23,29346,2599,8078,19358,75086,61081,60644,58846,53527,54688,45267,38830,42518,40089,37193,38019,51389,58876,51885,43200,33665,31158,34428,25547,18061,16152,15446,12312,10149,9323,9456,19704
24,76686,6247,11214,15211,27903,17727,9685,10665,13325,29839,33333,32640,49105,53022,43764,43370,54571,52785,51326,42668,45356,39166,29412,23643,22439,21757,16828,16501,16630,15030,19935,164137
25,0,0,0,0,22,425,1304,2843,6773,11167,14572,22452,31742,36442,41716,44511,49113,58938,67574,70501,85689,72370,49100,42536,38789,34914,33953,35495,33300,25320,38944,155415
26,49384,24977,66821,94302,198941,76162,43011,34716,19904,72608,65468,30415,30739,43068,21695,26141,55797,17223,23467,18384,13935,24797,18476,8707,5366,5788,4323,3672,2565,964,1033,3071
