,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,143445,32287,8965,12371,27075,21951,5350,1830,2050,1608,2225,10514,27895,295586,106229,272016,83213,9101,6530,5323,6185,8632,15539,0,0,0,0,0,0,0,0,0
1,298535,194710,63144,44067,3344,6656,15156,11746,2022,969,1479,7116,21697,32800,206132,58997,27776,11807,19221,18978,19783,22719,17066,0,0,0,0,0,0,0,0,0
2,202920,142142,31789,12362,1453,3054,14961,21109,3561,1914,2587,9890,29198,90939,311109,98181,30251,11685,16856,12562,16194,22893,18310,0,0,0,0,0,0,0,0,0
3,220276,293037,33017,13295,2593,4920,19531,15087,2525,1084,1597,8876,28841,32494,255647,79465,15604,6491,11908,7085,11598,20668,20281,0,0,0,0,0,0,0,0,0
4,89542,68376,26415,6120,1297,1907,8380,5423,1172,676,993,5585,18076,232191,303757,206528,72417,11288,8684,6428,8849,13076,8740,0,0,0,0,0,0,0,0,0
5,301036,351271,63359,10303,9572,14387,24595,27907,1341,1141,2045,15982,13774,186838,29870,16156,8564,1881,2109,1682,4037,8762,9308,0,0,0,0,0,0,0,0,0
6,450079,268065,36396,7833,6794,9394,17355,34202,927,635,1487,22297,16147,172748,8208,3647,2980,1747,2328,2676,6798,14108,19069,0,0,0,0,0,0,0,0,0
7,291371,265833,36754,6690,5003,8630,6434,7621,485,465,1209,10458,11185,188737,92611,84803,36133,5298,4580,3757,8872,14817,14174,0,0,0,0,0,0,0,0,0
8,179058,19355,17245,29667,50464,33468,27660,13594,7891,4089,6468,11255,30727,156994,321134,83237,43676,13696,9474,7584,11895,15721,11568,0,0,0,0,0,0,0,0,0
9,65327,24214,10749,32884,56218,39607,38428,18125,9567,4999,9238,19264,47300,108558,400480,76193,37065,14427,14518,11898,22103,30225,14533,0,0,0,0,0,0,0,0,0
10,117079,16349,3150,9111,1846,4845,18345,12102,2416,1634,2073,10068,36469,103156,327300,137712,90048,29569,33812,28591,43341,48778,28126,0,0,0,0,0,0,0,0,0
11,117813,31848,20618,34641,31405,9924,11837,6926,4029,2823,2848,10594,39139,178475,251036,144083,70282,19320,17609,14251,26959,35772,23688,0,0,0,0,0,0,0,0,0
12,242557,92001,21528,6732,3682,7345,18907,13041,1685,585,736,6074,54735,82025,63081,115608,75495,50254,31947,28616,39997,79540,69749,0,0,0,0,0,0,0,0,0
13,306683,83173,19013,53028,25536,3832,19852,8507,1302,370,791,8196,38001,23338,10747,38593,24567,21379,19391,28975,101285,141713,127648,0,0,0,0,0,0,0,0,0
14,221665,58272,17280,23370,4731,3391,10233,6927,1018,526,1214,23932,58327,163122,132195,123969,68220,20870,17289,17678,24827,43022,63842,0,0,0,0,0,0,0,0,0
15,116090,52333,52197,97718,168875,151383,39098,14338,4265,2572,3763,10058,14381,60069,173249,65897,20353,6003,7114,7935,10152,16082,11995,0,0,0,0,0,0,0,0,0
16,81992,51095,32515,139852,172278,100918,24701,12890,3555,2433,4711,8121,13088,121634,178605,78337,36385,5833,4325,4815,6960,12731,8146,0,0,0,0,0,0,0,0,0
17,201128,53316,41845,149067,141060,19849,17126,16843,2492,1090,1632,8717,26411,18176,293110,38268,12009,4946,6289,5695,11525,19066,16260,0,0,0,0,0,0,0,0,0
