,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,163609,30479,44360,36912,43813,99480,170459,100478,106416,104023,48620,41035,32432,11360,7113,5437,7419,5272,7667,6849,7370,7005,3962,3380,1257,1137,798,758,495,549,884,5092
1,141532,40897,54059,78406,72028,60627,74889,78594,85369,65417,42432,35746,51581,77562,52776,24825,9710,7181,14627,4991,5294,8328,5650,2170,1396,1484,1522,2740,1255,432,87,2313
2,40833,33751,37995,51841,78313,104001,109330,83828,59304,43981,42732,44274,85210,135361,89149,41334,10920,6972,2464,600,585,643,835,1566,97,1,0,0,0,0,0,0
3,46444,33581,44085,56340,61785,81205,94374,101807,87526,67550,47330,42429,83863,132113,73140,23246,8392,7224,3786,2787,442,717,1256,936,75,1053,127,142,110,333,340,1382
4,104405,11176,26414,36283,40018,60888,60000,49250,92701,159266,79608,58392,76368,39356,20213,20163,24006,25836,26653,20239,14781,13115,5959,4689,2590,2693,2484,2446,3571,13947,5434,2976
5,3802,3483,5620,8949,15703,22226,27537,29433,34754,38818,55422,86415,149920,51511,42507,47500,56164,68972,69931,64013,54636,42852,26111,18939,17044,20156,21220,10248,5159,2873,2109,1893
6,33365,14288,28412,36203,45853,64802,61353,48073,81882,139458,79686,64481,99185,43517,27237,27191,30640,35061,33835,22826,15313,13728,7052,5353,2888,3166,3573,6048,4815,17543,6724,2369
7,285293,79685,84035,75590,62706,56862,99420,131704,85005,48834,24447,14256,8691,5630,4135,3559,4047,3222,2631,1696,1481,1988,751,769,365,494,686,924,1374,8513,2893,4234
8,101258,243813,157659,69050,54966,54813,140550,188771,60030,6989,4205,3722,2642,2201,2567,4036,4973,2144,910,435,185,1,0,0,0,0,0,0,0,0,0,0
9,200966,231907,159383,94481,73802,62072,110085,95586,43498,7851,4827,4536,3281,2083,2186,2511,2846,1827,1197,606,360,29,0,0,0,0,0,0,0,0,0,0
10,84437,118060,132113,109685,93176,98491,133557,86111,57930,81043,34973,18775,11036,5267,3845,3306,5564,5213,6516,2341,873,1805,647,932,183,624,492,457,804,3819,1463,2382
11,95901,15450,36559,46814,55908,83263,76010,53911,135019,208490,89030,48691,31004,14657,8881,7579,6229,4821,11742,5706,6027,7443,1953,2128,819,1470,1712,2254,4420,28909,9705,3415
12,7192,21710,57665,95862,121559,147296,177265,182688,104104,63407,36848,21268,18629,19740,5602,3832,4614,5688,3899,2941,949,364,208,189,235,375,932,735,113,11,0,0
13,28204,13596,52702,68379,113491,125407,128979,136116,118198,102319,61361,40251,31686,26538,16354,9615,6397,5860,7593,5132,1603,982,511,575,94,237,178,347,266,1361,526,1062
14,66711,16728,40035,52217,58453,84980,78580,63450,120965,230459,97822,56461,28042,15934,9920,8334,6805,5151,9151,5344,4872,6311,1732,2191,688,1303,1344,1734,3018,17046,6563,3576
15,7594,16779,38532,68985,132773,194708,140247,79657,56122,46036,44258,48585,49497,45310,40975,33722,25012,16648,10999,4983,1633,410,211,149,184,174,357,545,637,188,10,0
16,34172,15673,33774,49942,77796,119921,96799,63151,90704,153746,73490,51928,44033,35810,35601,32753,25680,15684,13578,7458,3255,4095,1286,1477,391,871,793,1064,1772,12337,4853,2033
17,326041,14788,23705,34951,41871,49458,54195,51637,58414,62942,47913,40615,57518,92756,73720,41415,9136,5988,2831,1037,842,1155,503,473,335,439,476,524,678,3542,1352,4670
18,21766,18078,25806,40320,49252,63006,73107,78016,82839,89185,87384,81080,116565,144198,80167,32351,7830,6878,4985,2962,124,9,5,4,2,1,0,0,0,0,0,0
19,46981,24678,32637,45563,58241,66968,74963,87716,95182,91964,76671,55997,78329,105260,70210,44900,22135,16832,7419,2587,637,36,8,3,2,1,0,0,0,0,0,0
20,47656,26033,45765,59579,62785,88895,87446,68715,90708,183024,78152,48805,53276,55206,35113,21006,11010,8082,10251,3209,1314,2613,1011,1301,273,736,724,786,1028,6853,2469,2096
21,81764,29775,46696,61835,98610,157856,130856,95663,91227,94168,58584,38946,30973,20971,12771,7475,7910,8470,8453,4198,1993,2224,613,835,504,674,600,699,981,5722,2193,1681
22,36522,22236,46385,67147,113140,186187,147646,105678,85923,98116,59755,42655,29876,16491,9728,6105,6325,5921,6720,3317,1169,1092,344,458,107,241,216,318,571,3414,1287,830
23,76231,6730,12361,17893,22590,30493,31897,31526,50657,71887,59348,62881,140988,58635,33474,37331,43789,56506,56743,40439,26883,21441,18590,15559,12896,13689,14500,11936,8948,10419,4100,4560
24,5459,5656,8333,13159,21795,24747,30381,33476,41615,49487,56427,70765,124269,57264,56151,62021,71594,88679,85707,68753,45496,32092,18261,10635,7155,5230,3406,2057,1549,1625,1371,1305
25,104382,16832,34973,45079,54505,74712,71770,55691,115990,197150,90750,56559,45614,21605,11311,11868,11008,8280,9828,6793,6717,7680,2465,2480,1216,1417,1471,1720,3834,21308,7266,3646
26,6666,16024,37858,61796,109086,118653,126541,162673,152923,107106,58950,37124,28536,23422,16396,8486,8338,11444,7524,3761,1133,292,156,150,165,175,438,85,18,1,0,0
27,25137,13141,55512,64727,94910,125566,146913,153045,116001,83820,50399,36126,34489,35082,20339,13555,13293,8557,5435,3214,2299,657,214,241,184,89,95,136,212,1621,587,324
28,2745,16820,43672,59917,65170,101587,97856,73890,113273,244862,104302,55411,25335,13833,8866,7306,6059,4338,8910,4745,3861,5696,1879,2439,682,1438,1580,1914,3121,15813,5821,2779
