,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,155339,1557,3088,5545,4835,3549,2430,3279,4383,5444,6882,11704,15898,24649,79924,90932,37064,45883,64147,57050,48019,68352,99784,81531,41081,39012,31862,25671,16819,7984,7109,15114
1,134341,10034,22567,39026,35399,25585,17566,8009,26924,81513,48842,77405,53854,53155,53277,83859,30296,21704,21519,22686,26067,36768,32189,21974,25473,23789,15629,14991,10012,12770,4874,13823
2,0,0,0,0,0,1,833,6083,10822,25392,15309,17878,22229,27482,34906,43319,41342,47313,64082,85492,89207,83387,74502,76713,62398,58775,48816,41397,28782,23015,16618,59827
3,18432,0,0,0,42,987,4928,8615,10249,8025,14989,18671,20260,24278,30774,31893,32875,35622,46714,69810,84378,77858,83313,94037,74207,59368,53209,43895,35235,27997,22097,73162
4,105938,4900,13890,27270,49217,33575,31446,35078,27938,57012,59965,58145,60538,73221,49630,54315,83769,43377,39405,37137,27577,25936,31991,17676,13263,11081,5843,5013,3519,2665,3191,12399
5,0,3,496,10910,30376,47094,63510,71239,72419,65781,56920,58821,59070,54801,43752,43014,54447,66349,49159,39535,36581,31754,38298,31571,19877,14796,14117,9112,5876,3945,2254,10043
6,282738,5473,18000,36321,46155,33609,28564,36746,30000,65885,59116,42994,45206,63495,34525,32279,63880,24779,26325,21315,18454,21501,21181,12674,8495,5736,4478,5438,3499,1905,1159,3995
7,0,0,0,0,0,0,81,763,2313,11652,18046,24496,24679,27181,41237,47669,56732,65473,67897,70388,68206,52550,43656,37227,27150,51111,84735,87024,53307,43245,35900,63202
8,0,0,0,0,0,0,0,5,296,3224,12378,29291,25190,24316,20537,21495,23966,26281,33278,35181,34593,41019,48854,48371,46475,74421,121401,123049,80734,65599,55361,110605
9,0,0,0,0,0,0,60,5270,27828,45208,38429,42488,38487,40572,45217,41696,46238,45352,50427,51166,48892,46380,39921,36025,36012,39968,28649,24828,25015,25585,36237,199970
10,123741,3575,8010,15633,22498,20448,19891,23511,19653,55169,54947,40560,47343,70431,44271,39842,78352,45409,44674,48060,51036,42432,28317,19647,15713,12159,15074,16233,13832,12401,14917,38141
11,0,0,0,0,0,15,438,1538,4859,9665,14186,20509,25928,33422,42454,50732,61765,89770,102292,105136,108808,72923,51451,44334,34885,29798,24481,22886,22921,18219,23081,89424
12,31287,4127,14150,21977,37972,24160,19539,28412,19638,65731,61648,45556,50398,78412,45797,47619,91921,47152,46117,40600,45826,42992,23772,16537,14289,11376,10950,11244,12330,10441,16343,67607
13,74492,908,2702,4182,9562,4801,3813,6121,6096,18303,21352,17206,22759,30960,33814,47764,63330,67535,77484,71232,65612,53346,46549,45753,61841,56185,41469,35423,32099,20147,18056,45024
14,30190,3731,8829,14008,21157,15679,12949,19091,13301,44307,39457,26216,29025,46457,34092,42975,72719,47564,56322,44769,33875,37391,50940,56081,58216,43116,40898,36098,33843,28059,21983,42582
15,314209,1006,3792,4936,9057,8123,6799,15878,18308,27142,25254,27726,40560,48911,38617,36231,45622,30021,42510,57605,59344,51593,41131,32301,24934,22247,16098,12492,9799,7524,4899,21251
16,0,0,0,0,20,401,1535,11301,17179,19453,26800,35297,47171,60259,52033,49636,45255,43762,46482,67262,70964,62637,62345,58873,49576,46183,42604,37777,30589,23035,19280,78211
17,0,0,0,0,2,149,2222,8516,11329,12227,17993,31167,42063,49130,50653,49437,56107,62153,63015,84370,79527,64148,54726,45057,37731,33349,31466,29847,25562,24614,24254,115106
18,28851,2487,11114,14757,27998,17322,14420,24091,20870,50904,45137,35665,42262,61121,34378,32670,55898,27335,37166,54184,64678,63508,52782,45010,34287,29904,27562,24522,21087,17730,15636,70584
