,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,234698,24418,40717,31480,40586,104813,194629,105067,84693,70072,40753,37431,25313,9168,5154,4427,6687,4514,6062,6611,7292,5525,2841,2672,998,837,590,483,382,534,599,5874
1,78719,46309,52669,80327,105356,109364,98876,67200,42172,37213,38113,38304,67021,133566,73001,16187,5087,5912,3193,2293,482,204,293,433,349,464,680,776,488,90,11,768
2,40163,33195,35022,41094,51513,69952,88576,120109,102947,56397,42457,42015,89198,140916,91416,34780,8117,7484,3950,2312,3905,377,19,3,1,1,1,0,0,0,0,0
3,38383,22765,47525,62063,71869,98906,94444,67027,91911,152381,77555,51876,42052,54743,42867,24601,9778,6145,4148,3723,2459,4359,1488,1725,567,1172,1145,1339,2262,16012,6014,2616
4,106068,7818,10318,13051,15492,19433,23012,23318,34616,38636,44430,58210,148755,56974,32421,39685,51850,79815,86400,70440,47238,31684,19445,12356,7445,7129,6131,3714,2559,3797,1580,2100
5,6259,6384,10244,14320,19903,24550,28620,28533,35996,41497,56677,79176,130435,57799,47847,53652,61076,75973,73193,66642,49490,34782,20964,15378,14042,16588,15051,9069,5465,3091,1892,1332
6,103319,14689,36440,48421,56610,80943,86923,58351,96608,195240,91842,51388,41760,19018,11636,10914,8820,7021,8281,7502,7035,9395,4339,3769,1331,1928,1706,2082,3158,22600,8768,4083
7,269650,153209,122415,84414,64609,48617,115306,144789,57623,10043,5978,4045,3437,2316,2463,3202,4001,2296,709,561,156,342,206,384,287,454,432,628,456,94,1,2797
8,80459,237992,155998,62158,50570,47119,135091,217075,79173,9460,5878,4382,2711,2251,2567,4141,4807,2140,801,1075,70,2,0,0,0,0,0,0,0,0,0,0
9,193552,205691,143972,79088,62613,52659,114801,136397,70172,11752,7048,6920,5068,2380,2178,3477,3841,2214,1274,712,108,3,0,0,0,0,0,0,0,0,0,0
10,130042,124761,96455,81072,68565,88263,99049,45476,68412,119478,64003,40061,17817,8832,6402,5120,6041,4560,3968,2864,1535,2770,1192,1413,370,916,796,966,1552,7448,3031,2690
11,85523,13120,49667,72145,101655,140403,158053,184920,107717,57166,33728,23206,19686,22364,7711,6126,6843,5645,4408,2271,721,186,114,108,225,349,449,244,14,1,0,1152
12,34375,16983,53250,68123,101579,117218,115258,113761,117645,140954,75327,44361,27657,21604,13894,7933,6698,5454,5099,3259,1048,1871,842,1017,223,495,508,560,823,4228,2000,1873
13,72442,17999,39797,70445,117745,141610,98104,67766,76517,81134,56348,50809,42048,36850,31785,25464,20029,11967,10338,7260,5432,2788,907,1596,486,821,1145,973,1768,6825,2559,4163
14,34598,14430,31123,50280,90949,165644,116368,73502,60079,102150,61810,50747,45625,44301,42657,37665,32704,20396,11650,6816,2035,1493,712,949,216,494,444,569,557,2517,1080,1360
15,319126,19832,26321,40396,45031,50257,53092,51187,55657,57331,48339,43121,61735,101120,74801,31842,7460,4208,1802,802,657,739,400,513,437,646,743,705,582,1384,658,4996
16,26036,23070,29344,44052,49942,59382,65149,72093,80823,96822,95144,91451,131734,128417,70126,21685,5199,6331,5235,3049,763,63,4,3,1,1,0,1,0,0,0,0
17,37351,29326,43805,55921,60267,63783,71523,84258,93259,93060,75813,63503,87319,120372,79047,29663,6187,5445,3465,1951,542,34,15,8,3,0,0,0,0,0,0,0
18,47865,18446,30655,43142,45319,69562,74372,69556,81153,182838,94400,52432,48961,66625,60366,57562,29391,20026,2584,2065,504,1396,730,972,134,466,434,300,285,1227,595,1557
19,91172,29475,46764,61596,100948,156980,131156,99735,88572,84302,57564,43660,31733,19781,11274,7442,8829,8536,7977,3945,1781,2387,476,468,316,513,594,655,833,3183,1532,1741
20,27401,17195,39538,57858,86938,122437,102355,76158,103945,189506,91854,58566,27387,15094,10165,8511,7221,5578,7799,7921,4245,5386,1625,1942,523,1186,1160,1429,2451,13889,5323,3334
21,86763,6437,9027,13250,20391,22715,25490,28001,37322,44212,51506,63750,133899,68061,38537,44397,53674,69285,70540,49206,32941,24898,21676,16519,13171,14360,13109,10557,8132,6993,3490,3611
22,25001,9171,13232,19062,24382,34032,37837,32612,42064,76042,55413,62814,91310,47883,48226,54129,65111,80670,80946,65482,46166,34686,19423,11097,8110,6200,3300,2215,1932,2508,2090,2774
23,69728,16740,30176,47112,99620,118462,125911,159528,145474,99883,53005,33268,24013,15503,10990,8006,8346,8986,7213,3550,1152,1799,973,1483,1246,1796,1303,843,914,2522,1125,5250
24,5381,13120,59348,66613,101412,121415,144688,160184,119373,90732,52551,34414,29763,29835,22970,16447,15713,12173,5126,3197,792,576,49,15,26,7,0,0,0,0,0,0
25,42197,16974,41110,50535,65730,95149,97591,69356,114785,228623,94015,53587,26142,13739,10048,7302,6731,4905,6109,5269,5331,6573,1860,2299,724,1378,1456,1884,3650,20894,6920,3054
