Minute,NumConfirmPresses,NumBreakPresses,PercentageOfMovement,PercentageOfRoll,PercentageOfThruster,AverageThrusterIntensity
1,1,0,0.0,0.0,0,0
2,1,0,2.5,1.67,10.83,0.98
3,0,0,45.0,6.67,98.33,0.94
4,0,0,62.5,10.0,80.83,0.94
5,1,0,15.83,1.67,43.33,0.98
6,0,0,55.0,1.67,93.33,0.99
7,0,0,20.0,5.0,31.67,0.96
8,0,0,30.83,2.5,100.0,1.0
9,0,0,22.5,0.0,100.0,1.0
10,0,0,14.17,0.0,87.5,0.98
11,1,0,25.83,2.5,56.67,1.0
12,0,0,60.0,0.83,78.33,0.93
13,1,0,36.67,3.33,53.33,0.97
14,0,0,58.33,3.33,72.5,0.99
15,0,0,31.67,1.67,71.67,0.98
16,0,0,39.17,2.5,100.0,0.98
17,0,0,45.83,1.67,69.17,0.92
18,0,0,36.67,11.67,33.33,0.94
19,0,0,68.33,4.17,93.33,0.94
20,0,0,60.0,3.33,56.67,0.92
