Minute,NumConfirmPresses,NumBreakPresses,PercentageOfMovement,PercentageOfRoll,PercentageOfThruster,AverageThrusterIntensity
1,1,0,0.0,0.0,0,0
2,1,0,22.5,10.83,58.33,0.97
3,0,0,64.17,10.83,93.33,0.88
4,0,0,42.5,10.83,100.0,1.0
5,0,0,11.67,0.0,40.83,0.97
6,0,0,61.67,10.83,95.0,0.95
7,0,0,23.33,1.67,30.0,0.85
8,0,0,30.83,11.67,100.0,0.93
9,0,0,41.67,28.33,100.0,1.0
10,0,0,28.33,17.5,73.33,0.99
11,1,0,25.0,2.5,58.33,0.99
12,0,0,55.0,9.17,83.33,0.96
13,1,0,19.17,2.5,43.33,1.0
14,0,0,47.5,7.5,81.67,1.0
15,0,0,9.17,5.0,30.0,1.0
16,0,0,44.17,22.5,100.0,0.99
17,0,0,67.5,23.33,100.0,0.89
18,0,0,22.5,11.67,30.83,0.83
19,0,0,49.17,24.17,80.83,0.93
20,0,0,50.0,16.67,80.0,0.98
21,0,0,18.33,0.0,36.67,0.98
22,0,0,55.83,39.17,93.33,0.87
23,0,0,40.0,22.5,76.67,0.99
24,0,0,35.83,12.5,55.0,0.82
25,0,0,53.33,22.5,99.17,0.99
26,0,0,24.17,12.5,34.17,0.99
