Minute,NumConfirmPresses,NumBreakPresses,PercentageOfMovement,PercentageOfRoll,PercentageOfThruster,AverageThrusterIntensity
1,1,0,0.0,0.0,0,0
2,3,0,5.0,8.33,11.67,0.72
3,0,0,28.33,21.67,97.5,0.85
4,0,0,53.33,10.83,98.33,0.66
5,0,0,17.5,5.0,40.83,0.65
6,0,0,44.17,13.33,57.5,0.74
7,0,0,43.33,12.5,94.17,0.85
8,0,0,26.67,11.67,35.83,0.72
9,0,0,25.0,10.0,65.83,0.96
10,0,0,23.33,24.17,100.0,0.96
11,0,0,24.17,10.83,100.0,0.98
12,0,0,10.0,7.5,45.83,1.0
13,0,0,43.33,16.67,59.17,0.95
14,0,0,50.83,22.5,99.17,0.89
15,0,0,11.67,2.5,14.17,0.91
16,0,0,47.5,30.83,97.5,0.94
17,0,0,11.67,7.5,26.67,0.97
18,0,0,47.5,20.0,100.0,1.0
19,0,0,63.33,25.0,99.17,0.87
20,0,0,32.5,20.83,50.83,0.71
21,0,0,33.33,18.33,69.17,0.97
22,0,0,37.5,20.0,55.83,0.85
23,0,0,28.33,18.33,70.0,0.98
24,0,0,54.17,34.17,72.5,0.83
25,1,0,3.33,0.0,9.17,1.0
26,0,0,47.5,13.33,99.17,0.92
27,0,0,30.0,9.17,53.33,0.82
