Minute,NumConfirmPresses,NumBreakPresses,PercentageOfMovement,PercentageOfRoll,PercentageOfThruster,AverageThrusterIntensity
1,2,0,0.0,0.0,0,0
2,1,0,24.17,7.5,77.5,0.98
3,0,0,42.5,6.67,100.0,0.99
4,0,0,44.17,2.5,65.83,1.0
5,1,0,35.83,1.67,55.83,0.93
6,0,0,44.17,14.17,89.17,0.93
7,0,0,20.0,1.67,37.5,0.77
8,0,0,0.0,0.0,0,0
9,0,0,10.83,0.0,85.0,0.94
10,0,0,27.5,1.67,100.0,0.95
11,0,0,17.5,0.83,100.0,0.85
12,0,0,5.0,0.0,29.17,0.84
13,1,8,47.5,5.83,77.5,0.8
14,0,0,46.67,8.33,86.67,0.87
15,0,0,17.5,0.83,22.5,0.82
16,0,0,0.0,0.0,0,0
17,1,7,39.17,1.67,70.83,0.94
18,1,0,40.0,1.67,55.83,0.97
19,0,0,0.0,0.0,0,0
20,0,0,22.5,6.67,81.67,0.98
21,0,0,46.67,4.17,100.0,0.98
22,0,0,45.0,2.5,100.0,0.93
23,0,0,13.33,1.67,36.67,0.88
24,1,0,9.17,0.0,8.33,1.0
25,0,0,45.0,0.83,80.0,1.0
