Minute,NumConfirmPresses,NumBreakPresses,PercentageOfMovement,PercentageOfRoll,PercentageOfThruster,AverageThrusterIntensity
1,3,0,0.0,0.0,0,0
2,0,0,40.83,0.0,62.5,0.71
3,0,0,41.67,6.67,80.0,0.72
4,0,0,36.67,1.67,90.83,0.7
5,0,0,16.67,0.0,24.17,0.74
6,0,0,31.67,11.67,51.67,0.67
7,0,0,53.33,3.33,84.17,0.77
8,0,0,40.0,13.33,79.17,0.79
9,0,0,18.33,4.17,32.5,0.75
10,0,0,0.0,0.0,0,0
11,0,0,34.17,4.17,79.17,0.95
12,0,0,56.67,5.83,100.0,0.98
13,0,0,47.5,1.67,100.0,0.93
14,0,0,9.17,0.83,28.33,0.95
15,1,0,41.67,15.83,75.0,0.84
16,0,0,67.5,35.83,92.5,0.75
17,0,0,40.0,7.5,65.0,0.85
18,0,0,0.0,0.0,0,0
19,0,2,46.67,13.33,64.17,0.8
20,0,5,50.0,29.17,75.0,0.73
21,0,0,18.33,0.0,26.67,0.8
22,1,0,33.33,3.33,63.33,0.85
23,0,0,52.5,5.0,94.17,0.84
24,0,0,47.5,6.67,96.67,0.89
25,0,0,30.0,20.83,18.33,0.64
26,0,0,0.0,0.0,0,0
27,0,0,43.33,25.0,68.33,0.73
28,0,0,50.83,45.0,71.67,0.7
29,0,0,56.67,5.83,79.17,0.72
30,0,0,14.17,0.0,25.83,0.9
31,0,0,0.0,0.0,0,0
32,0,0,37.5,11.67,72.5,0.89
33,0,0,72.5,5.0,88.33,0.85
34,0,0,46.67,1.67,61.67,0.92
35,0,0,0.0,0.0,0,0
36,0,0,46.67,5.83,69.17,0.81
37,0,0,66.67,13.33,99.17,0.92
38,0,0,56.67,10.0,99.17,0.95
39,0,0,30.0,17.5,25.83,0.77
40,0,0,0.0,0.0,0,0
