Minute,NumConfirmPresses,NumBreakPresses,PercentageOfMovement,PercentageOfRoll,PercentageOfThruster,AverageThrusterIntensity
1,2,0,0.0,0.0,0,0
2,0,0,45.83,10.83,73.33,1.0
3,0,0,55.0,18.33,82.5,0.74
4,0,0,55.83,12.5,92.5,0.74
5,1,0,13.33,3.33,35.0,0.61
6,0,0,45.0,12.5,65.83,0.9
7,0,0,79.17,5.0,92.5,0.92
8,0,0,51.67,3.33,55.0,0.85
9,0,0,21.67,0.83,49.17,0.93
10,0,0,37.5,10.83,97.5,0.99
11,0,0,45.0,0.83,100.0,0.93
12,0,0,30.83,0.83,66.67,0.99
13,1,0,32.5,5.0,66.67,0.9
14,0,0,70.0,10.0,89.17,0.88
15,0,0,30.83,5.0,40.83,0.91
16,1,0,32.5,0.83,69.17,0.81
17,0,1,40.83,0.83,54.17,0.89
18,0,0,47.5,7.5,79.17,0.95
