Minute,NumConfirmPresses,NumBreakPresses,PercentageOfMovement,PercentageOfRoll,PercentageOfThruster,AverageThrusterIntensity
1,1,0,0.83,0.0,0,0
2,1,0,29.17,8.33,66.67,0.99
3,0,0,68.33,19.17,81.67,0.95
4,0,0,42.5,11.67,97.5,0.96
5,1,0,42.5,5.83,51.67,0.85
6,0,0,71.67,15.0,95.0,0.93
7,0,0,4.17,3.33,1.67,0.64
8,0,0,34.17,5.83,100.0,0.95
9,0,0,42.5,16.67,100.0,0.97
10,0,0,32.5,5.0,100.0,0.94
11,1,0,39.17,6.67,74.17,0.97
12,0,0,67.5,10.83,89.17,0.85
13,1,0,40.0,4.17,73.33,0.91
14,0,2,35.0,5.0,50.0,0.97
15,0,0,0.0,0.0,0,0
16,0,0,41.67,11.67,90.83,0.97
17,0,0,46.67,5.0,97.5,0.96
18,0,0,62.5,9.17,75.0,0.81
19,0,0,0.0,0.0,0,0
20,0,0,61.67,5.83,90.0,0.96
21,0,0,30.83,3.33,33.33,0.91
22,0,0,0.0,0.0,0,0
23,0,0,52.5,2.5,78.33,0.98
24,0,0,54.17,3.33,60.0,0.92
