Minute,NumConfirmPresses,NumBreakPresses,PercentageOfMovement,PercentageOfRoll,PercentageOfThruster,AverageThrusterIntensity
1,2,0,0.0,0.0,0,0
2,0,0,23.33,5.0,81.67,0.99
3,0,0,48.33,7.5,95.83,0.83
4,0,0,21.67,4.17,30.83,0.85
5,0,0,39.17,9.17,54.17,0.83
6,0,0,57.5,8.33,95.0,0.87
7,0,0,4.17,0.0,6.67,0.79
8,0,0,16.67,3.33,72.5,0.92
9,0,0,19.17,10.83,100.0,0.74
10,0,0,24.17,8.33,100.0,0.69
11,0,0,12.5,2.5,42.5,0.77
12,0,0,34.17,11.67,80.0,0.95
13,0,0,44.17,2.5,60.0,0.87
14,0,0,23.33,1.67,55.0,0.96
15,0,0,41.67,1.67,69.17,0.95
16,1,0,20.0,0.0,54.17,0.99
17,0,0,46.67,9.17,100.0,0.89
18,0,0,44.17,7.5,94.17,0.92
19,0,0,32.5,10.0,62.5,0.91
20,0,0,26.67,5.83,66.67,0.9
21,0,0,19.17,5.0,25.0,0.92
22,0,0,36.67,8.33,80.83,0.92
23,0,0,61.67,15.83,80.0,0.81
24,0,0,45.83,10.83,69.17,0.93
25,0,0,70.0,22.5,95.0,0.84
26,0,0,5.0,0.0,8.33,0.93
