Minute,NumConfirmPresses,NumBreakPresses,PercentageOfMovement,PercentageOfRoll,PercentageOfThruster,AverageThrusterIntensity
1,2,0,0.0,0.0,0,0
2,0,0,39.17,0.0,61.67,0.95
3,0,0,40.0,4.17,65.0,0.91
4,0,0,49.17,0.83,95.0,0.98
5,0,0,12.5,0.0,30.0,0.99
6,0,0,31.67,0.0,59.17,0.98
7,0,0,57.5,5.0,79.17,0.97
8,0,0,30.83,0.0,30.83,0.88
9,0,0,21.67,0.0,65.0,0.99
10,0,0,29.17,0.83,100.0,0.98
11,0,0,39.17,5.0,96.67,0.98
12,0,0,13.33,0.0,44.17,0.96
13,0,0,37.5,0.0,65.83,0.97
14,0,0,52.5,9.17,82.5,0.94
15,0,0,23.33,3.33,25.83,0.95
16,0,0,37.5,0.0,75.0,0.97
17,0,0,56.67,7.5,75.0,0.96
18,0,0,0.0,0.0,0,0
19,0,0,28.33,0.83,69.17,0.98
20,0,0,49.17,2.5,98.33,0.98
21,0,0,53.33,1.67,95.83,0.93
22,0,0,12.5,0.0,33.33,0.98
23,1,0,43.33,0.0,71.67,0.97
24,0,0,65.0,1.67,90.0,0.98
25,0,0,3.33,0.0,4.17,1.0
26,0,0,57.5,0.0,83.33,0.99
27,0,0,67.5,3.33,97.5,0.98
28,0,0,10.83,2.5,12.5,0.98
29,1,0,39.17,2.5,60.83,0.92
30,0,0,66.67,0.0,99.17,0.98
31,0,0,43.33,0.0,72.5,0.98
32,0,0,0.0,0.0,0,0
