Minute,NumConfirmPresses,NumBreakPresses,PercentageOfMovement,PercentageOfRoll,PercentageOfThruster,AverageThrusterIntensity
1,2,0,0.0,0.0,0,0
2,1,0,20.83,7.5,58.33,1.0
3,0,0,59.17,21.67,100.0,1.0
4,0,0,25.0,5.83,35.83,1.0
5,0,0,32.5,13.33,65.0,0.99
6,0,0,53.33,16.67,85.83,0.99
7,0,0,0.0,0.0,0,0
8,0,0,30.83,13.33,42.5,0.98
9,0,0,24.17,5.83,99.17,0.98
10,0,0,39.17,12.5,100.0,1.0
11,0,0,25.0,10.0,60.0,1.0
12,0,0,35.83,14.17,75.0,0.99
13,0,0,53.33,20.0,75.0,1.0
14,0,0,0.0,0.0,0,0
15,0,0,37.5,12.5,70.83,0.97
16,0,0,54.17,16.67,65.83,1.0
17,1,0,0.0,0.0,0,0
18,0,0,15.83,19.17,66.67,0.99
19,0,0,44.17,17.5,100.0,1.0
20,0,0,56.67,31.67,96.67,0.98
21,0,0,14.17,19.17,53.33,0.99
22,0,0,0.0,0.0,0,0
23,0,0,25.0,10.83,50.83,1.0
24,0,0,57.5,35.83,97.5,0.98
25,0,0,2.5,2.5,4.17,0.94
26,0,0,42.5,26.67,88.33,0.99
27,0,0,68.33,44.17,92.5,0.93
28,0,0,12.5,5.0,18.33,0.83
29,0,0,48.33,23.33,85.0,0.99
30,0,0,78.33,50.0,95.83,0.91
31,0,0,0.0,0.0,0,0
