Minute,NumConfirmPresses,NumBreakPresses,PercentageOfMovement,PercentageOfRoll,PercentageOfThruster,AverageThrusterIntensity
1,1,0,0.0,0.0,0,0
2,0,0,0.0,0.0,0,0
3,0,0,25.0,8.33,65.0,0.81
4,0,7,63.33,19.17,79.17,0.92
5,0,0,49.17,21.67,91.67,0.84
6,0,0,18.33,5.83,45.83,0.94
7,1,0,46.67,25.83,70.0,0.93
8,0,2,81.67,47.5,80.83,0.9
9,0,3,10.0,4.17,7.5,0.77
10,1,1,44.17,14.17,79.17,0.98
11,0,0,28.33,8.33,100.0,1.0
12,0,0,31.67,2.5,100.0,1.0
13,1,0,11.67,0.0,36.67,0.97
14,0,4,70.0,16.67,77.5,0.94
15,0,0,67.5,5.0,85.83,0.96
16,0,0,4.17,0.0,5.83,0.93
17,1,0,55.83,9.17,71.67,0.89
18,0,0,53.33,15.83,54.17,0.88
19,0,0,0.0,0.0,0,0
20,0,0,39.17,8.33,71.67,0.97
21,0,0,59.17,25.0,98.33,0.87
22,0,0,52.5,25.0,73.33,0.84
23,0,0,24.17,0.83,48.33,0.97
24,0,0,0.0,0.0,0,0
25,0,0,55.83,30.0,71.67,0.97
26,0,0,74.17,59.17,85.0,0.84
