Minute,NumConfirmPresses,NumBreakPresses,PercentageOfMovement,PercentageOfRoll,PercentageOfThruster,AverageThrusterIntensity
1,1,0,0.0,0.0,0,0
2,1,0,5.0,4.17,19.17,0.99
3,0,0,29.17,10.83,94.17,1.0
4,0,0,34.17,10.83,81.67,0.96
5,0,0,6.67,0.83,15.0,0.91
6,0,0,46.67,14.17,97.5,0.99
7,0,0,24.17,10.83,37.5,0.94
8,0,0,5.83,0.83,50.0,0.99
9,0,0,23.33,2.5,100.0,1.0
10,0,0,32.5,3.33,100.0,1.0
11,0,0,20.83,8.33,66.67,0.99
12,0,0,0.0,0.0,0,0
13,0,0,35.0,15.0,80.83,0.97
14,0,0,44.17,19.17,83.33,0.94
15,0,0,0.0,0.0,0,0
16,0,0,30.0,6.67,87.5,0.94
17,0,0,24.17,5.0,36.67,0.85
18,0,0,21.67,8.33,50.83,1.0
19,0,0,40.83,20.0,100.0,0.98
20,0,0,65.83,23.33,90.83,0.9
21,0,0,25.0,12.5,31.67,0.84
22,0,0,33.33,5.83,63.33,0.98
23,0,0,48.33,15.0,73.33,0.91
24,1,0,25.0,4.17,65.0,0.97
25,0,0,53.33,8.33,89.17,0.82
26,1,0,3.33,0.83,6.67,0.84
27,0,0,48.33,18.33,89.17,0.97
28,0,0,60.0,16.67,85.0,0.88
29,0,0,0.0,0.0,0,0
