Minute,NumConfirmPresses,NumBreakPresses,PercentageOfMovement,PercentageOfRoll,PercentageOfThruster,AverageThrusterIntensity
1,2,0,0.0,0.0,0,0
2,1,0,15.83,0.0,40.0,0.92
3,0,0,58.33,5.0,90.0,0.96
4,0,0,48.33,6.67,94.17,1.0
5,0,0,4.17,0.0,0.83,1.0
6,0,1,36.67,10.0,51.67,0.95
7,0,0,66.67,5.83,87.5,0.96
8,0,0,0.0,0.0,0,0
9,0,0,27.5,0.83,68.33,0.98
10,0,0,36.67,5.83,100.0,0.99
11,0,0,32.5,0.0,100.0,0.99
12,0,0,18.33,2.5,48.33,1.0
13,0,0,49.17,2.5,85.0,1.0
14,0,0,44.17,10.83,50.0,0.99
15,0,0,43.33,2.5,76.67,0.99
16,0,0,68.33,13.33,76.67,0.91
17,0,0,49.17,5.0,76.67,0.99
18,0,0,53.33,5.83,99.17,1.0
19,0,0,65.83,3.33,89.17,0.98
20,0,0,17.5,1.67,46.67,1.0
21,0,0,46.67,0.83,77.5,0.96
22,0,0,50.83,12.5,65.0,0.98
23,0,0,72.5,8.33,100.0,0.95
24,0,0,60.0,8.33,83.33,0.94
25,0,0,53.33,5.83,71.67,0.98
26,0,0,76.67,7.5,96.67,0.95
27,0,0,0.83,0.0,0.83,1.0
