Minute,NumConfirmPresses,NumBreakPresses,PercentageOfMovement,PercentageOfRoll,PercentageOfThruster,AverageThrusterIntensity
1,3,0,0.0,0.0,0,0
2,1,0,3.33,6.67,7.5,0.84
3,0,0,24.17,0.0,74.17,0.81
4,0,0,28.33,0.0,71.67,0.84
5,0,0,17.5,0.0,20.0,0.88
6,0,0,0.0,0.0,0,0
7,1,0,12.5,2.5,31.67,0.89
8,0,0,34.17,0.0,65.0,0.91
9,0,0,30.83,0.0,60.83,0.87
10,0,0,15.83,0.0,35.83,0.78
11,0,0,0.0,0.0,0,0
12,0,0,0.0,0.0,0,0
13,0,0,15.83,0.0,50.83,0.95
14,0,0,27.5,0.0,100.0,0.99
15,0,0,26.67,0.0,97.5,0.98
16,0,0,18.33,0.0,55.0,1.0
17,1,0,0.0,0.0,0,0
18,0,0,19.17,0.0,64.17,0.9
19,0,0,23.33,0.0,51.67,0.88
20,0,0,22.5,0.0,65.83,0.87
21,0,0,3.33,0.0,10.0,0.98
22,0,0,0.0,0.0,0,0
23,0,0,15.83,0.0,57.5,0.85
24,0,0,15.0,0.0,40.83,0.84
25,0,0,5.83,0.0,19.17,0.86
26,0,0,0.0,0.0,0,0
27,0,0,0.0,0.0,0,0
28,0,0,0.0,0.0,0,0
29,0,0,5.83,0.0,22.5,0.75
30,0,0,21.67,0.0,60.0,0.83
31,0,0,19.17,0.0,70.0,0.91
32,0,0,15.0,0.0,24.17,0.87
33,0,0,0.0,0.0,0,0
34,0,0,0.0,0.0,0,0
