Minute,NumConfirmPresses,NumBreakPresses,PercentageOfMovement,PercentageOfRoll,PercentageOfThruster,AverageThrusterIntensity
1,1,0,0.0,0.0,0,0
2,3,0,0.0,0.0,0,0
3,0,0,0.0,0.0,0,0
4,0,0,27.5,4.17,78.33,0.79
5,0,0,45.83,4.17,73.33,0.86
6,0,0,13.33,7.5,12.5,0.75
7,0,0,48.33,0.83,86.67,0.85
8,0,0,65.83,5.83,70.83,0.91
9,1,0,10.0,0.0,19.17,0.88
10,0,0,25.0,1.67,86.67,0.98
11,0,0,43.33,3.33,100.0,1.0
12,0,0,28.33,0.0,100.0,0.99
13,0,0,18.33,0.83,49.17,0.98
14,0,0,56.67,6.67,85.0,0.95
15,1,0,31.67,6.67,42.5,0.89
16,0,0,46.67,5.0,83.33,0.94
17,0,0,38.33,7.5,50.83,0.99
18,0,0,25.83,4.17,55.0,0.97
19,0,0,55.83,3.33,95.83,0.99
20,0,0,72.5,6.67,68.33,0.92
21,1,0,28.33,0.0,49.17,1.0
22,0,0,60.0,6.67,81.67,0.85
23,0,0,62.5,2.5,81.67,0.87
24,0,0,20.83,0.0,43.33,0.98
25,0,0,68.33,3.33,75.0,0.94
26,0,0,39.17,9.17,62.5,1.0
27,0,0,43.33,5.83,75.83,0.93
28,0,0,61.67,4.17,84.17,0.95
29,0,0,53.33,3.33,55.0,0.98
