Minute,NumConfirmPresses,NumBreakPresses,PercentageOfMovement,PercentageOfRoll,PercentageOfThruster,AverageThrusterIntensity
1,4,0,0.0,0.0,0,0
2,0,0,25.83,9.17,48.33,0.97
3,0,0,32.5,10.83,92.5,1.0
4,2,0,49.17,12.5,90.83,0.99
5,0,0,0.0,0.0,0,0
6,1,0,33.33,12.5,64.17,0.94
7,0,0,62.5,21.67,85.83,0.98
8,0,0,5.83,4.17,6.67,0.86
9,0,0,31.67,5.0,86.67,1.0
10,0,0,34.17,11.67,100.0,1.0
11,0,0,37.5,4.17,100.0,0.99
12,0,0,33.33,12.5,82.5,0.98
13,0,0,69.17,35.83,92.5,0.99
14,1,0,0.0,0.0,0,0
15,0,0,48.33,19.17,85.83,0.96
16,0,0,53.33,42.5,80.83,0.93
17,0,0,15.83,2.5,51.67,0.98
18,0,0,40.83,15.83,100.0,1.0
19,0,0,60.0,18.33,89.17,0.98
20,2,0,29.17,10.83,64.17,0.98
21,0,0,46.67,15.83,85.83,0.94
22,0,0,50.83,25.83,78.33,0.97
23,0,0,1.67,0.0,6.67,0.79
24,0,0,60.83,17.5,88.33,0.92
25,0,0,42.5,23.33,83.33,0.93
26,1,0,3.33,0.0,5.0,0.76
27,0,0,55.83,18.33,96.67,0.99
28,0,0,50.0,33.33,65.83,0.93
