Minute,NumConfirmPresses,NumBreakPresses,PercentageOfMovement,PercentageOfRoll,PercentageOfThruster,AverageThrusterIntensity
1,3,0,0.0,0.0,0,0
2,0,0,25.0,5.83,70.83,0.96
3,0,0,52.5,9.17,96.67,0.99
4,2,0,17.5,2.5,20.0,0.86
5,0,0,50.0,10.0,89.17,0.98
6,0,0,65.0,14.17,77.5,0.87
7,0,0,55.0,27.5,99.17,0.99
8,1,0,23.33,3.33,39.17,0.94
9,0,0,25.83,1.67,100.0,1.0
10,0,0,30.0,2.5,100.0,1.0
11,0,0,29.17,4.17,99.17,0.97
12,1,0,15.0,0.0,36.67,0.97
13,0,0,65.0,11.67,90.83,0.97
14,0,0,20.0,0.83,30.83,0.93
15,0,0,63.33,9.17,92.5,0.96
16,0,0,6.67,2.5,26.67,0.96
17,0,0,51.67,4.17,99.17,0.98
18,0,0,45.83,2.5,99.17,0.98
19,0,0,56.67,5.83,82.5,0.97
20,0,0,24.17,1.67,44.17,0.99
21,0,0,60.0,5.83,83.33,0.94
22,0,0,21.67,0.0,35.0,0.98
23,0,0,60.83,5.0,90.0,0.96
24,0,0,30.83,8.33,30.83,0.89
25,0,0,70.83,3.33,97.5,0.97
26,0,0,51.67,3.33,55.0,0.94
