Minute,NumConfirmPresses,NumBreakPresses,PercentageOfMovement,PercentageOfRoll,PercentageOfThruster,AverageThrusterIntensity
1,2,0,0.0,0.0,0,0
2,0,0,28.33,5.0,83.33,1.0
3,0,0,42.5,5.0,100.0,1.0
4,1,0,0.0,0.0,0.83,1.0
5,0,0,40.0,15.83,91.67,0.99
6,0,0,66.67,41.67,90.83,0.99
7,0,0,7.5,3.33,15.83,0.91
8,0,0,27.5,10.0,71.67,0.97
9,0,0,30.83,13.33,100.0,1.0
10,0,0,28.33,0.83,100.0,1.0
11,0,0,15.83,5.83,38.33,0.98
12,0,0,44.17,16.67,90.83,0.96
13,0,0,23.33,11.67,37.5,0.97
14,1,0,30.0,0.83,74.17,0.98
15,0,0,31.67,10.83,43.33,0.93
16,0,0,24.17,2.5,65.83,1.0
17,0,0,47.5,15.83,100.0,1.0
18,0,0,57.5,25.83,90.83,0.95
19,0,0,7.5,4.17,37.5,1.0
20,0,0,52.5,20.83,85.83,0.92
21,0,0,30.0,15.83,45.83,0.93
22,0,0,60.83,28.33,94.17,0.97
23,0,0,55.83,39.17,79.17,0.92
24,0,0,4.17,0.0,7.5,0.85
25,0,0,32.5,15.83,73.33,0.91
26,0,0,64.17,14.17,98.33,0.94
27,0,0,4.17,4.17,9.17,0.92
