Minute,NumConfirmPresses,NumBreakPresses,PercentageOfMovement,PercentageOfRoll,PercentageOfThruster,AverageThrusterIntensity
1,3,0,0.0,0.0,0,0
2,0,0,24.17,17.5,74.17,0.99
3,0,0,31.67,30.83,81.67,0.93
4,0,0,36.67,34.17,75.83,0.94
5,1,0,5.83,4.17,14.17,0.75
6,0,0,34.17,25.83,53.33,0.85
7,0,0,50.0,35.0,73.33,0.95
8,0,0,47.5,29.17,54.17,0.9
9,0,0,7.5,9.17,0,0
10,0,0,12.5,7.5,50.0,0.96
11,0,0,17.5,0.83,100.0,0.99
12,0,0,13.33,0.0,100.0,0.84
13,0,0,8.33,0.0,55.83,0.77
14,0,0,19.17,8.33,53.33,0.94
15,0,0,34.17,26.67,72.5,0.92
16,0,0,45.0,32.5,51.67,0.72
17,0,0,17.5,22.5,5.0,0.91
18,0,0,31.67,17.5,81.67,0.88
19,0,0,39.17,0.0,73.33,0.96
20,0,0,0.0,0.0,0,0
21,0,0,0.0,0.0,0,0
22,1,0,18.33,1.67,72.5,0.92
23,0,0,41.67,16.67,75.83,0.92
24,0,0,30.83,13.33,98.33,0.99
25,0,0,13.33,8.33,21.67,0.98
26,0,0,0.0,0.0,0,0
