Minute,NumConfirmPresses,NumBreakPresses,PercentageOfMovement,PercentageOfRoll,PercentageOfThruster,AverageThrusterIntensity
1,2,0,0.0,0.0,0,0
2,2,0,0.0,0.0,1.67,0.57
3,0,0,36.67,5.83,100.0,0.99
4,0,0,41.67,5.0,85.83,0.97
5,0,0,15.83,0.83,30.83,1.0
6,0,0,44.17,21.67,86.67,0.94
7,0,0,7.5,2.5,7.5,0.85
8,0,0,17.5,0.83,91.67,0.95
9,0,0,27.5,2.5,100.0,0.99
10,0,0,18.33,0.83,100.0,0.91
11,1,0,10.0,0.0,34.17,0.86
12,0,0,45.83,4.17,93.33,0.91
13,0,0,17.5,8.33,23.33,0.84
14,0,0,20.83,0.0,61.67,0.99
15,0,0,32.5,5.83,45.83,0.96
16,0,0,8.33,1.67,47.5,0.91
17,0,0,39.17,5.83,100.0,0.86
18,0,0,50.0,13.33,78.33,0.84
19,0,0,20.0,3.33,36.67,0.83
