Minute,NumConfirmPresses,NumBreakPresses,PercentageOfMovement,PercentageOfRoll,PercentageOfThruster,AverageThrusterIntensity
1,1,0,0.0,0.0,0,0
2,0,0,17.5,2.5,34.17,0.93
3,0,0,55.0,4.17,92.5,0.97
4,0,0,45.0,8.33,65.0,0.96
5,0,0,14.17,6.67,15.0,0.71
6,1,0,18.33,0.0,52.5,0.97
7,0,0,33.33,7.5,99.17,1.0
8,0,0,37.5,21.67,100.0,1.0
9,0,0,30.83,7.5,60.0,1.0
10,0,0,41.67,9.17,74.17,0.96
11,0,0,60.83,12.5,66.67,0.92
12,0,0,20.0,0.0,40.0,0.94
13,0,0,55.0,2.5,77.5,0.96
14,1,0,15.83,0.83,39.17,0.99
15,0,0,58.33,8.33,96.67,0.92
16,0,0,64.17,7.5,89.17,0.92
17,0,0,39.17,5.83,50.0,0.91
