,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,176846,13171,17264,24326,25117,22653,21169,10142,10899,24157,18422,22399,25926,44414,119587,121799,32182,36363,44175,34420,29243,40350,50429,44224,25662,21618,15032,11480,8275,3819,2939,7418
1,18432,0,0,3,3,242,688,2825,7076,26680,16047,21078,31653,28106,40255,44986,45672,44700,52965,68795,83860,92027,81198,76680,58838,53088,53569,40222,26112,19231,14569,56320
2,0,0,0,0,23,1010,4447,9409,12584,16004,23472,27426,23010,28870,38578,43610,40310,45575,55215,74999,79907,74267,67686,65154,60932,53531,47876,42959,36215,26880,22234,83737
3,38846,5352,11714,17675,35300,18744,11439,20275,20429,35530,28410,22289,23108,32986,22025,22062,42266,37577,44832,54122,58527,58417,61850,76106,57421,46659,39537,34767,30879,25827,17113,53836
4,84245,2896,7341,17319,47534,31452,32483,35033,33285,47410,52532,53061,56612,55650,48629,63180,81009,61947,46529,36100,31523,35351,43916,21902,14249,14099,9295,5554,3758,2921,3002,26103
5,0,18,3370,18253,40536,57446,65066,84869,82314,74097,59295,64122,61775,47940,37670,34580,54292,59881,46843,37185,33345,28416,26690,17522,14053,12592,13976,7768,4739,2897,1937,12433
6,41371,8798,24365,43280,68796,53965,51971,59386,47097,73463,64596,44840,42047,61983,31413,32959,84417,45901,42980,31614,24445,23692,21306,19936,14650,11838,8899,7847,3966,1985,1537,10577
7,92009,10613,22483,38198,51808,47756,32780,40719,30907,92627,85694,46870,52036,88333,37045,37237,140703,24683,32322,22480,17598,21381,13566,7285,4760,2757,1624,2707,3156,880,580,2323
8,36864,29,1303,1709,1595,1226,1135,2903,19116,32010,22448,20302,18214,25002,40620,46453,54211,63300,65764,62846,57741,48539,34541,28499,27642,58588,75792,76895,51694,40737,30304,57898
9,0,0,0,0,0,0,1,49,3574,9731,13493,17892,16463,27209,29584,25062,28233,35556,40508,39546,37620,41891,40989,42286,39962,86009,128700,123399,74757,63277,49555,90574
10,0,0,0,0,0,0,49,5461,25178,50778,51159,50687,44480,39882,38473,39270,42369,41205,45058,46282,46947,49687,46530,38132,34131,34098,30886,28881,29327,36195,44391,166384
11,116373,18607,33825,40661,72010,31354,19076,23818,21089,79003,60324,39383,37118,73156,37465,43934,62289,35234,40508,34032,27765,29614,23982,14769,11782,10911,6390,4454,3272,3213,7318,43191
12,9082,11,14,5,11,570,1014,7904,7083,9816,14720,22733,27607,34590,42458,47671,61592,90101,100260,108052,113470,78278,47459,34624,31811,22038,20019,19512,18762,18629,26605,89419
13,0,0,0,0,34,1682,4045,5232,10377,14988,18628,25582,36026,46615,56530,60877,64961,84981,88056,80289,75216,55339,42031,33588,29550,26338,24669,24245,24528,20159,25313,126041
14,39619,3196,16161,21667,36279,30869,20769,30312,20927,65106,61900,49696,52002,86199,42193,47559,96109,48060,43947,39443,44177,44292,22192,14654,11207,8993,7195,8616,10033,9943,18886,53719
15,69460,4593,21919,28548,55472,45437,32472,40267,27972,99046,94317,55277,55789,105373,36878,39707,129493,25126,29423,24611,19188,25465,16008,8619,5195,2983,1185,1826,2213,419,345,1294
16,0,3,844,2830,1996,2607,6903,28383,9275,17040,21221,17686,21355,29462,36938,45962,54774,64231,74897,70997,80722,60607,63096,57523,73356,64782,47844,36944,27647,18825,17244,49926
17,38225,934,4727,6026,9687,7212,5480,11445,12291,26509,27055,17909,21187,36376,31231,42703,67843,63227,69401,56067,43253,45728,50580,50225,57444,49071,49423,48798,41809,31002,27961,55091
18,52872,16079,49163,74461,105676,74844,40502,41348,27014,87903,70028,43677,42425,87981,28812,30278,109675,17645,29065,18236,12211,15910,10220,5739,3666,2318,1354,2058,2074,508,434,1744
19,92160,0,0,47,583,1331,4756,12737,20402,23632,26929,40368,55182,58858,55325,52670,53604,57682,63284,75417,71940,59938,52870,40772,33800,31898,25172,21321,14650,11574,9038,37980
20,0,0,0,0,17,1327,5083,14545,19282,17484,24837,31622,39026,48109,46780,46557,46509,52373,64414,93766,83818,74218,63238,54477,45131,40301,35116,28560,23818,18883,15545,71084
21,0,0,0,0,13,2825,7177,12989,20868,24875,19546,23413,23844,29521,31512,29443,27474,29860,35334,51561,63534,63959,64475,64640,55695,52223,45458,41556,37501,34871,33334,178419
22,42140,3937,9332,11295,20386,20128,18193,24824,26545,73084,73896,41311,50027,115072,35215,35404,112327,25673,40538,38712,44332,46067,39653,28667,21125,18755,14786,12730,10560,8880,7370,34956
23,89415,4098,6036,5433,8732,16290,13985,17523,27006,91094,96251,46371,54735,114364,47009,50699,167018,33811,34466,27088,22443,26686,26813,17562,18196,11571,7966,6329,7064,3600,1909,4357
24,29071,1814,5112,8286,12252,8356,7110,11388,12314,35582,44053,38225,43488,60882,64916,81988,115270,94361,82535,59514,40813,38741,37044,29612,34749,28924,21975,15404,10248,4530,3885,23478
