0,1,0,0,0,1,2,2,2,t,1,1,0,0,t,t,t,t,t
1,2,2,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,1
2,1,1,0,0,1,t,1,2,2,1,1,0,0,1,t,1,2,2
3,1,1,2,2,1,1,0,2,1,1,1,2,1,1,1,t,t,0
4,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
5,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7,2,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0
8,1,0,0,t,t,0,1,2,t,1,1,0,2,t,0,0,1,t
9,2,t,0,0,3,0,0,0,0,1,1,0,0,3,0,0,0,0
10,2,t,0,t,t,2,0,2,t,1,2,0,1,t,2,t,t,t
11,3,1,t,t,0,t,0,2,1,3,1,1,t,0,t,0,2,1
12,3,3,t,0,t,t,0,t,t,1,1,0,0,t,t,t,t,0
13,2,0,0,t,0,0,1,2,1,1,0,0,0,0,0,0,1,1
14,1,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,1
15,2,2,1,0,0,t,0,0,0,1,1,1,0,0,t,0,0,0
16,2,1,t,t,1,t,t,t,0,0,t,t,t,t,t,t,t,t
17,1,2,1,0,1,1,t,0,0,0,2,0,0,2,0,0,0,0
18,1,0,0,0,0,0,2,1,3,1,0,0,0,0,0,0,0,3
19,3,3,2,t,1,2,2,1,1,3,3,2,2,2,3,3,3,3
20,1,1,1,0,1,1,0,1,1,1,1,2,1,1,1,0,1,1
21,1,t,t,t,t,t,0,0,t,0,1,1,0,0,t,t,t,3
