,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,719187,240264,289717,230174,230845,343417,498090,443858,1139667,1121840,325345,222130,226122,109241,61576,49577,80431,35604,42865,42052,28959,58740,31706,39993,13815,18575,16236,17488,20129,39438,66191,108728
1,685830,374548,367851,480263,572554,631058,618386,447290,470880,411611,223126,188482,258824,517412,266987,56971,45050,36366,26686,23332,22986,28547,26840,31403,6405,8999,6299,12075,6187,9400,11552,37800
2,242272,278783,305744,301648,361404,520393,716215,825351,589190,336428,271612,261765,433024,580701,390843,246259,107856,94608,21151,10587,4315,3248,3205,2955,1928,400,65,21,11,3,4,11
3,222079,355144,346612,377626,357915,407853,462007,503572,414032,335369,295073,310611,715483,1049847,503741,119756,46693,32490,17555,9131,8288,3900,9682,6158,1115,151,47,20,12,13,9,16
4,787781,91870,140795,192845,214750,270472,313890,287313,463898,646816,411093,348990,464851,276830,189351,158405,190777,220159,245664,206395,165641,138917,85337,65862,46107,43561,42770,25853,26477,81866,33139,33525
5,45256,52257,73503,115332,147225,177301,197327,204809,248969,267831,353388,505563,764843,345958,270736,315700,372528,439240,416609,362409,286791,234881,142835,104403,91980,104800,110286,63052,39862,19873,13288,23165
6,1216673,666346,653786,566266,455568,391548,490444,474105,428494,517864,231722,161513,152975,86931,42873,47311,37330,28102,32639,20666,19408,22973,7834,8107,3431,6118,6697,8031,11522,60706,28947,25070
7,678020,1466964,1051437,557148,378041,321465,741413,1015660,366747,67585,54203,39938,30382,28609,27967,27186,27146,18803,7223,5392,533,91,20,10,8,4,3,2,0,0,0,0
8,898818,1524314,1006423,532800,380463,310712,713770,841671,355070,102679,38603,36833,30043,19749,18254,21218,23040,20083,18081,14675,3827,678,137,32,15,6,4,2,0,0,0,0
9,1011085,1148364,922262,666319,514342,481660,569844,252771,244769,379181,187737,115741,77685,47390,30994,32524,31326,23495,19138,14232,11386,13861,4302,5259,1330,2892,3606,3864,8606,52382,21000,12653
10,542982,90958,301604,471479,559819,639391,714298,880661,740758,696571,370026,224843,136271,108169,55645,42065,44038,43991,44499,26808,20160,21143,6715,7022,3397,5030,6356,5956,10849,51695,21980,16821
11,230133,119126,391665,469976,629153,726844,791673,885279,756517,572750,334076,253240,207041,149913,93356,53767,43133,49848,48731,26109,14518,13653,3331,4005,1927,2648,1828,1947,3087,17679,7508,7539
12,443900,124391,243323,374539,625388,744030,502099,446770,537717,801618,389806,328122,269482,232534,194048,192267,111473,71047,70915,36327,25404,25666,9166,6867,2959,4685,5579,6123,9714,39990,21201,14850
13,179761,118622,205826,292495,535206,827038,691672,471944,383279,383789,335381,351212,360646,346851,331303,296521,258187,180302,129661,88307,39435,24831,12385,8479,3794,3154,2280,2122,4489,24676,12037,6315
14,843123,128169,219113,321729,362121,468467,477162,352489,526251,795972,437348,327395,301877,440365,347323,181259,67562,34445,20328,18574,14920,23320,8456,12950,3367,7466,8498,8396,14632,73029,28812,37082
15,131396,160468,213961,293550,347118,407608,428699,465913,515522,598551,667747,591093,746828,730473,348343,119119,42666,47389,36916,11588,4673,1228,672,275,71,40,27,21,14,15,6,10
16,228367,148364,207689,289373,358724,403935,456807,502967,561191,610641,502485,415969,531481,713616,511301,261913,101358,70469,14423,9896,9371,928,235,148,169,91,30,21,10,13,5,10
17,356587,201189,273842,351533,368641,494639,609911,401286,612919,955706,534371,355927,289479,323235,199461,90787,53009,31686,27678,32904,26060,35098,11066,13089,3251,8342,9573,9173,21885,129887,48262,31524
18,516862,209472,322161,401064,634683,978709,750493,590589,561332,496908,379807,294402,228178,154548,91634,53029,48974,63776,50814,27837,7099,7784,2818,3277,2017,2534,2964,2810,3418,8933,3812,9262
19,274109,138478,294696,433949,668903,961253,844775,691573,545383,502780,416281,347710,280422,171723,93027,43655,36544,31029,35602,29057,12066,7759,1515,3119,373,4299,858,1089,2351,13117,6001,18504
20,501402,75580,150841,198070,241382,318308,338603,262049,558713,868977,500927,387705,554668,216562,126975,139494,171357,182857,173826,136362,134707,117752,83673,65718,53355,51321,33840,26956,29996,108633,45951,55440
21,27243,39336,57569,92976,126455,154171,177011,202933,233608,271281,285442,345670,672306,322049,305811,343238,433262,560256,591145,490926,334716,224216,133500,83880,64293,63174,68083,60286,46355,36418,29125,35266
22,248179,71388,102682,139404,179410,226576,246820,210618,319603,445136,381278,405545,578445,302608,264897,295583,351242,402300,408043,338653,245782,205787,135281,92949,64677,51294,31324,22392,20739,51017,29604,42744
23,538774,167553,265159,316255,468315,598180,642584,655518,893264,892818,443600,275057,184145,125012,89283,61606,43523,35347,37831,24467,12831,27502,9707,11586,6724,6898,6111,4964,6056,30415,13422,17493
24,35509,99503,362538,440358,606896,685511,750589,945545,767214,541230,343698,250624,226346,201396,153494,132971,117082,106360,73465,30888,27714,9849,1182,542,931,327,75,42,32,25,20,44
25,725260,111239,294835,352271,424540,506393,580251,669804,743001,823649,390775,258055,174912,121456,96993,84576,63470,41421,44709,32322,22635,27505,11836,29922,22979,39063,43830,14299,14371,82096,36283,27249
