,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,926450,79260,20035,31480,84281,57716,7961,595,2586,188,4259,35311,66883,1612011,637623,1711045,1148638,105542,73295,59877,60593,86049,100322,0,0,0,0,0,0,0,0,0
1,1605805,888062,285022,173388,22510,35058,108014,46881,10764,3599,10482,59848,135871,534345,1201954,700250,415405,76269,109000,119689,110198,140541,119045,0,0,0,0,0,0,0,0,0
2,1285190,1366176,271972,90588,8869,20492,83102,92694,18926,6238,10808,65532,173937,353063,2024417,450446,103048,35500,66902,50952,74219,131054,127875,0,0,0,0,0,0,0,0,0
3,576518,826450,447478,111227,9057,24733,114569,84073,16885,8416,16260,65749,188146,673051,2586454,563114,130654,46801,62902,54645,76883,132361,95574,0,0,0,0,0,0,0,0,0
4,1601504,1248412,295377,86903,37939,62798,83620,72391,7170,4671,12974,65227,73579,1185838,820237,652801,328951,37338,27253,25903,46965,78451,55698,0,0,0,0,0,0,0,0,0
5,2398485,2083839,261418,58490,45576,69759,116807,146666,6454,3035,11527,119524,88188,1073666,55610,22418,21131,13802,13437,21731,55962,97169,127306,0,0,0,0,0,0,0,0,0
6,1481824,236427,161650,190838,222322,167833,148098,48164,41080,6947,34370,77897,159106,1031790,1294377,674734,375855,89164,52402,59854,108376,138390,110502,0,0,0,0,0,0,0,0,0
7,500899,250876,93239,294330,521975,319970,316671,78566,98425,9651,93618,154941,283485,474296,2287804,299231,177408,77007,89846,79624,137550,183854,88734,0,0,0,0,0,0,0,0,0
8,653362,156886,13471,28329,3722,17085,107180,59726,16354,6198,15366,74210,187236,931884,2429529,745553,485298,142831,139320,157421,192083,226833,122123,0,0,0,0,0,0,0,0,0
9,975793,277550,142718,231998,189579,89314,121972,38687,44996,10042,41748,121963,226955,924494,1300120,848983,472586,107900,87908,108020,198685,223495,126494,0,0,0,0,0,0,0,0,0
10,1437146,517926,121290,34671,17963,39231,94219,42425,5124,1976,4875,40459,295358,683591,556771,877712,553249,303108,173097,157532,207454,410383,336440,0,0,0,0,0,0,0,0,0
11,1745525,560894,144040,185386,121155,29282,120468,78152,11484,2873,24713,84205,333246,316375,211422,385978,229657,150246,127648,186297,404896,753126,704932,0,0,0,0,0,0,0,0,0
12,610017,175281,180446,475717,739484,614126,161314,57381,20583,9244,14526,44955,58644,834779,1290309,961460,317343,37356,39519,50495,63804,95519,59698,0,0,0,0,0,0,0,0,0
13,403057,279794,236132,1045467,1538560,975542,238291,77394,29446,13213,24872,42492,57123,284714,941784,282957,126812,23164,26333,23511,42146,101141,98055,0,0,0,0,0,0,0,0,0
14,1069886,150074,84122,358329,286876,46756,39542,34181,11687,2786,6504,43553,89275,848966,1791022,1066905,524218,58213,48076,46310,86066,152648,66005,0,0,0,0,0,0,0,0,0
15,540414,223266,220871,985820,1260647,169534,127883,106580,24473,6608,14272,363367,205550,90206,1882838,281146,57032,21990,38932,29269,48842,99299,113161,0,0,0,0,0,0,0,0,0
16,621438,267226,277509,1348477,880027,121230,98618,83494,17121,6154,15053,220752,223098,106567,1944600,286168,60594,21248,45354,25958,44688,98091,98535,0,0,0,0,0,0,0,0,0
17,485959,137662,45092,179140,320260,45594,28805,18907,6740,2855,9507,235130,263849,1239791,1612233,1264500,630103,59599,53124,39160,69683,113964,50343,0,0,0,0,0,0,0,0,0
18,936344,285184,384886,843765,874642,877920,333188,156801,61610,32626,22260,36275,117360,275053,944928,230478,118582,43006,40297,47423,53421,109382,86569,0,0,0,0,0,0,0,0,0
19,554034,251237,380843,901202,1057730,1266417,360384,109650,52354,19437,21058,36184,104803,277118,847416,181339,100850,34434,42022,37159,52176,117769,106384,0,0,0,0,0,0,0,0,0
20,1401942,857832,114455,43999,35908,45827,77419,63545,5587,2233,6207,63380,83506,1683184,964356,800279,380255,39247,31342,26051,46391,77523,61532,0,0,0,0,0,0,0,0,0
21,3392259,1766984,116709,55633,56080,157478,130183,119718,5101,1918,4709,41235,32173,587853,45835,19227,17821,12066,10050,16059,43793,92053,187063,0,0,0,0,0,0,0,0,0
22,2364746,1783087,137009,64204,55412,98054,67421,80396,2865,1003,7128,85933,52236,953943,340010,305819,187699,23444,19566,19297,45842,85090,131796,0,0,0,0,0,0,0,0,0
23,1736040,434901,142683,371179,116262,16125,85807,59309,14088,4895,52041,227018,496533,663285,433468,519271,279869,71158,62789,73032,117195,426184,508868,0,0,0,0,0,0,0,0,0
24,1665499,1165495,318252,225460,122485,58129,178978,95363,13788,1508,3972,29206,121129,94220,65224,354604,228540,176996,151039,197667,363973,676882,603591,0,0,0,0,0,0,0,0,0
25,1179358,286627,166895,161378,262261,140205,28152,10582,3036,1318,8331,55564,187904,1026304,802318,873626,415683,53951,65010,68265,148103,663721,303408,0,0,0,0,0,0,0,0,0
